{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1244777211058639, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.3709487645604344}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.035226649986029215, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.104976904420861}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.023239515621426104, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0692547111886104}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.014273229261259412, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0425348487339998}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0037357854683311973, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.011132786398874}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0025149680015916966, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0074947040789533}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06559591331759994, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.1762795885155892}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03703464160440406, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.099525475792162}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013041636948765834, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0350475110078814}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0061380552872210845, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0164951708740808}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003611996186497826, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.009706708363917}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0009434265397157552, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0025353117474274}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.01097311803226692, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.1684675179952355}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.009383972131670507, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.1440694418566275}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005047702041618146, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0774961673281263}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0029214304674652918, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0448520540489845}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0013612448710555362, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0208989019466705}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0003219441240941012, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0049427040596104}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.13597154978929898, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.237474709891948}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06632697876618834, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.1158403554397758}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.020954538304269577, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0365972334713087}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.018844419164361106, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.032911837401787}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00604116366803972, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.010550900494572}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0038307607882953764, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0066904283735636}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.03832096094647095, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.1177609385927467}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.09580163210435867, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.2944000428918847}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.010883571226596398, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.0334453907621204}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.018000862676150173, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.0553169906023072}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004300875532092593, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.013216652845087}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0022382534656845143, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.006878193555948}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007099645183045091, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.190503885278511}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0015105060360512002, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.040531527206492}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0013638959438882121, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0365972834345865}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.001600826006686821, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.042954989650843}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0003791040571645865, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0101725415332214}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00018224631229621743, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.004890175777645}
