{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.8261805883007802e-07, 'weighted_error': 1.0011591235459, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.963384469934437e-08, 'weighted_error': 1.0004419825440793, 'gamma': 61.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.504655843055203e-08, 'weighted_error': 1.0002224528710117, 'gamma': 61.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.5162615584976933e-08, 'weighted_error': 1.000159712940709, 'gamma': 61.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.1534175589846819e-08, 'weighted_error': 1.0000732121484546, 'gamma': 61.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.176665525195807e-09, 'weighted_error': 1.000039204779531, 'gamma': 61.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.972277309195568e-07, 'weighted_error': 1.0036593001661236, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 9.225000055973076e-08, 'weighted_error': 1.0008498208519363, 'gamma': 1200.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.0038984665722927e-07, 'weighted_error': 1.000924801971436, 'gamma': 1200.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.138207048908161e-08, 'weighted_error': 1.000473335861972, 'gamma': 1200.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.72863313041994e-08, 'weighted_error': 1.0002513675075375, 'gamma': 1200.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.685751507298349e-09, 'weighted_error': 1.0000431650901156, 'gamma': 1200.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.156180864882923e-06, 'weighted_error': 1.0042890987862425, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.346803028562466e-07, 'weighted_error': 1.0023544581790607, 'gamma': 1.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.5606520322753384e-07, 'weighted_error': 1.0005789534597929, 'gamma': 1.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.653388621841474e-08, 'weighted_error': 1.0002468180536788, 'gamma': 1.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.9172478678753764e-08, 'weighted_error': 1.0001082184470003, 'gamma': 1.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.9889030945908857e-08, 'weighted_error': 1.0000737868829166, 'gamma': 1.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.86241956622596e-07, 'weighted_error': 1.0003043193131236, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.658117136552031e-07, 'weighted_error': 1.000103765761284, 'gamma': 1.6}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 7.845844601261877e-08, 'weighted_error': 1.0000491035075125, 'gamma': 1.6}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.778402870073756e-08, 'weighted_error': 1.0000111311175288, 'gamma': 1.6}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.791567257861215e-08, 'weighted_error': 1.0000112122667548, 'gamma': 1.6}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 9.91836136857146e-09, 'weighted_error': 1.000006206090084, 'gamma': 1.6}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.399979288810973e-07, 'weighted_error': 1.0025552225356251, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.4671484459141927e-06, 'weighted_error': 1.0044629652916983, 'gamma': 190.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.486291556340483e-07, 'weighted_error': 1.000756313523963, 'gamma': 190.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.196906589420373e-07, 'weighted_error': 1.0003640897786445, 'gamma': 190.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.031230153332591e-08, 'weighted_error': 1.0001530466197006, 'gamma': 190.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.274859833870985e-08, 'weighted_error': 1.0001300389900036, 'gamma': 190.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.251103485030878e-06, 'weighted_error': 1.0015005742903909, 'gamma': 0.058}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.8520124003650088e-06, 'weighted_error': 1.0012345494880368, 'gamma': 0.058}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.62069209216414e-06, 'weighted_error': 1.0010803401971768, 'gamma': 0.058}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.824391343540131e-07, 'weighted_error': 1.0004549317166962, 'gamma': 0.058}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.771973413003502e-07, 'weighted_error': 1.0001181250955322, 'gamma': 0.058}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.1310953255719488e-07, 'weighted_error': 1.0000753981616186, 'gamma': 0.058}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.177465246183183e-08, 'weighted_error': 1.0002218222897528, 'gamma': 70.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.562366106039223e-08, 'weighted_error': 1.0000829601541767, 'gamma': 70.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 9.344360895424269e-09, 'weighted_error': 1.0000496184646508, 'gamma': 70.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.3211831353196904e-09, 'weighted_error': 1.0000282547770774, 'gamma': 70.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.9153695019512217e-09, 'weighted_error': 1.0000154800522192, 'gamma': 70.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.4786576729540935e-09, 'weighted_error': 1.0000078518737268, 'gamma': 70.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.888422997708591e-07, 'weighted_error': 1.0003508039090283, 'gamma': 2.3}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.5793871380988344e-07, 'weighted_error': 1.0006649343792358, 'gamma': 2.3}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.254475809474167e-08, 'weighted_error': 1.0000976083802844, 'gamma': 2.3}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.8550031176253108e-08, 'weighted_error': 1.000034457820772, 'gamma': 2.3}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.0619586612943983e-08, 'weighted_error': 1.000038304379378, 'gamma': 2.3}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.131290200412772e-09, 'weighted_error': 1.000009531569129, 'gamma': 2.3}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.6014087280972235e-07, 'weighted_error': 1.0044346122833725, 'gamma': 43.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.086395770975782e-08, 'weighted_error': 1.0008670771201948, 'gamma': 43.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.354185218007799e-07, 'weighted_error': 1.0023084576159291, 'gamma': 43.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.0375479766407414e-08, 'weighted_error': 1.0006882699594772, 'gamma': 43.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.1305266270454805e-08, 'weighted_error': 1.000704128195463, 'gamma': 43.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 7.155742000397413e-09, 'weighted_error': 1.000121985797435, 'gamma': 43.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.63402695458736e-07, 'weighted_error': 1.0020240850940165, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.241249907022933e-07, 'weighted_error': 1.0034762533470802, 'gamma': 1100.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.329339608876944e-07, 'weighted_error': 1.0029683358027837, 'gamma': 1100.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.2831042095214653e-07, 'weighted_error': 1.0012716406997977, 'gamma': 1100.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.287340674472697e-08, 'weighted_error': 1.0004615907124665, 'gamma': 1100.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.3296637479387716e-08, 'weighted_error': 1.0000740583476364, 'gamma': 1100.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.8682480881839e-08, 'weighted_error': 1.0001820537241803, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 1.4379955021550412e-07, 'weighted_error': 1.000910587131453, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.1535624385791252e-07, 'weighted_error': 1.0007236163292308, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 1.5609149693536426e-07, 'weighted_error': 1.0007763037307045, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.4000787352326672e-06, 'weighted_error': 1.0080288491899894, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.0029085489713173e-05, 'weighted_error': 1.1056850879804552, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00012197914010107646, 'weighted_error': 1.688453705088344, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.003691246784667812, 'weighted_error': 22.28479685363088, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.005526097016493131, 'weighted_error': 27.49773387529969, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.252694578870418e-07, 'weighted_error': 1.0011539885926266, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 6.465164597193703e-08, 'weighted_error': 1.0005536269892565, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 2.0040457664358026e-07, 'weighted_error': 1.0016783372945344, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 6.263760851433931e-07, 'weighted_error': 1.0015749270103391, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 2.0174650299377263e-06, 'weighted_error': 1.0018038459466203, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 6.231222306529625e-05, 'weighted_error': 1.1544950301290018, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 0.00024925765561846074, 'weighted_error': 1.6180610250793201, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.006874572427724007, 'weighted_error': 22.376113874986157, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.02345103468359061, 'weighted_error': 49.22070684959343, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 4.5186436834992587e-07, 'weighted_error': 1.001676298775168, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 1.9222297414909185e-07, 'weighted_error': 1.0007102624217676, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 2.0523179097727398e-07, 'weighted_error': 1.0007500035023986, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 12, 'shap_error': 4.2851126258276263e-07, 'weighted_error': 1.0013062366238348, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 12, 'shap_error': 1.804466102900455e-06, 'weighted_error': 1.0055604290767244, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 12, 'shap_error': 2.5588861443407926e-05, 'weighted_error': 1.0665865591240324, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 12, 'shap_error': 8.352488701865305e-05, 'weighted_error': 1.1964903398623177, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 12, 'shap_error': 0.0019238602964408227, 'weighted_error': 5.302893193853577, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 12, 'shap_error': 0.009312448277982251, 'weighted_error': 24.21017394168092, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.210313399351749e-07, 'weighted_error': 1.0002009218976846, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 12, 'shap_error': 2.8104195945118326e-07, 'weighted_error': 1.0001758841326833, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 12, 'shap_error': 1.0477502251005825e-07, 'weighted_error': 1.0000655592019232, 'gamma': 1.6}
