{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0350772709223841, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.1045316864385804}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.036295443457852225, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.1081618692659765}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00748356522753331, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0223013224925634}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.009722173774543753, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0289724276906267}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003416398089090358, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0101809760605347}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0018334488514863492, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0054637484229783}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1342155756301294, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.3606854180700287}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.06120582830200929, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.1644820538815073}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011989748287754303, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0322207634023335}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007697468730187017, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.020685852283937}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.007053988908879121, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0189566112878858}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0038388211690438775, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0103162440397304}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.011098116718575645, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.1703863144639985}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00938085307946321, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.1440217818427008}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0034203636789131024, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0525119428191694}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0013996291116832782, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0214880731883396}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0008339059959155893, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0128027629927712}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0005436364068838109, 'shap_norm_sq': 0.061892692345874495, 'weighted_error': 1.0083462484539016}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.13827392163749197, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.241495905890879}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.037886379108384986, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0661686922003961}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.027981651583659436, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0488701137742682}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.013677744736620904, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0238882582597342}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.008155574148391817, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0142437238782906}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00371054049550722, 'shap_norm_sq': 0.000995351024442015, 'weighted_error': 1.0064804783244992}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.05676246564600151, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.1744319657665498}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.029741456583365498, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.091396072744719}
