{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.1036993047741374, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.3090281966245918}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.010551232812307637, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0314430602544118}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.006451532222455456, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.019225795615962}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.003483341528037022, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0103805078696333}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.004460579278417677, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0132926639042072}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.0018122289563832369, 'shap_norm_sq': 0.005634020216394387, 'weighted_error': 1.0054004963221228}
{'sample_size': 60, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.11057628134705398, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.2971578371055181}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.04258138823946088, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.11443149198743}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.016773520654667085, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.045076531166652}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.005554684043518485, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.014927437391366}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.002534046653560028, 'shap_norm_sq': 0.030861381647389347, 'weighted_error': 1.0068098808459414}
