{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.470347008454936e-08, 'weighted_error': 1.0002202750292295, 'gamma': 61.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.0724326422648648e-07, 'weighted_error': 1.0006806990642325, 'gamma': 61.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.908634143647117e-08, 'weighted_error': 1.0004385094415815, 'gamma': 61.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.609574207503561e-08, 'weighted_error': 1.0002291044779221, 'gamma': 61.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.811936938216445e-09, 'weighted_error': 1.0000432359711269, 'gamma': 61.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.6253253643269926e-09, 'weighted_error': 1.000016665291816, 'gamma': 61.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.3076777361164055e-07, 'weighted_error': 1.002125861761556, 'gamma': 1200.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.5086041405105547e-07, 'weighted_error': 1.0023109559295456, 'gamma': 1200.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.3173263485122738e-08, 'weighted_error': 1.000213474035014, 'gamma': 1200.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.733527951972085e-09, 'weighted_error': 1.0000343945126258, 'gamma': 1200.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.0670332898983053e-08, 'weighted_error': 1.000098296106151, 'gamma': 1200.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.3916483963218202e-08, 'weighted_error': 1.0001281989629562, 'gamma': 1200.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.1076858175176195e-07, 'weighted_error': 1.000781892376898, 'gamma': 1.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.625300776929858e-07, 'weighted_error': 1.0006029324974113, 'gamma': 1.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.8889264296220954e-07, 'weighted_error': 1.0007007298916168, 'gamma': 1.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.679321382912068e-08, 'weighted_error': 1.000136496377581, 'gamma': 1.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.9887161236727064e-08, 'weighted_error': 1.0001108653288284, 'gamma': 1.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.5858049555783618e-08, 'weighted_error': 1.0000959232466453, 'gamma': 1.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.5678556488087852e-07, 'weighted_error': 1.0000981239433784, 'gamma': 1.6}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 7.853458324328445e-08, 'weighted_error': 1.0000491526673885, 'gamma': 1.6}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 9.988085956583119e-08, 'weighted_error': 1.0000625069591416, 'gamma': 1.6}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.2977550536907434e-08, 'weighted_error': 1.000008121739374, 'gamma': 1.6}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.050009348813169e-08, 'weighted_error': 1.000012829639898, 'gamma': 1.6}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 7.639206740748943e-09, 'weighted_error': 1.0000047808348234, 'gamma': 1.6}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.0631474245489192e-06, 'weighted_error': 1.003234020004835, 'gamma': 190.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 6.488207990055905e-07, 'weighted_error': 1.0019736704836675, 'gamma': 190.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 1.8698077657122526e-07, 'weighted_error': 1.0005687842979454, 'gamma': 190.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 5.568701903259114e-08, 'weighted_error': 1.0001693959571294, 'gamma': 190.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 3.051550166460084e-08, 'weighted_error': 1.0000928252915238, 'gamma': 190.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 2.6720179067907734e-08, 'weighted_error': 1.000081281490491, 'gamma': 190.0}
