{'sample_size': 500, 'noise': 0, 'shap_error': 2.265840804307784e-06, 'weighted_error': 1.0143818104307787, 'gamma': 61.5}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.6155065309728495e-06, 'weighted_error': 1.0102540159794537, 'gamma': 61.5}
{'sample_size': 2000, 'noise': 0, 'shap_error': 6.983971568386345e-07, 'weighted_error': 1.0044329193940342, 'gamma': 61.5}
{'sample_size': 4000, 'noise': 0, 'shap_error': 6.969853949061568e-07, 'weighted_error': 1.004423915260068, 'gamma': 61.5}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.306588530124954e-07, 'weighted_error': 1.0008293195885813, 'gamma': 61.5}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.5754376845297687e-07, 'weighted_error': 1.0009999646391206, 'gamma': 61.5}
{'sample_size': 500, 'noise': 0, 'shap_error': 3.176614494508037e-06, 'weighted_error': 1.0292633275824856, 'gamma': 1174.5}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.9865117751301246e-06, 'weighted_error': 1.0182999749872155, 'gamma': 1174.5}
{'sample_size': 2000, 'noise': 0, 'shap_error': 6.5787895660283e-07, 'weighted_error': 1.006060451040759, 'gamma': 1174.5}
{'sample_size': 4000, 'noise': 0, 'shap_error': 5.890431040716069e-07, 'weighted_error': 1.0054263366580887, 'gamma': 1174.5}
{'sample_size': 8000, 'noise': 0, 'shap_error': 4.035671504213613e-08, 'weighted_error': 1.0003717712980653, 'gamma': 1174.5}
{'sample_size': 16000, 'noise': 0, 'shap_error': 7.491926398250166e-08, 'weighted_error': 1.000690162697429, 'gamma': 1174.5}
{'sample_size': 500, 'noise': 0, 'shap_error': 6.5671933153961005e-06, 'weighted_error': 1.0243623179598016, 'gamma': 1.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.0323622671387595e-06, 'weighted_error': 1.00382974601064, 'gamma': 1.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 2.2296372463656912e-06, 'weighted_error': 1.0082713227091245, 'gamma': 1.0}
