{'sample_size': 60, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 0.00025262549419458334, 'weighted_error': 2.603474616819812}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.00040142828429992334, 'weighted_error': 3.547962270751763}
{'sample_size': 240, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 5.9743129618919514e-05, 'weighted_error': 1.3792038044303907}
{'sample_size': 480, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 1.2984975753053995e-05, 'weighted_error': 1.082418780842716}
{'sample_size': 960, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 3.2171404151168485e-06, 'weighted_error': 1.020419953734499}
{'sample_size': 1920, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 7.458564004149955e-07, 'weighted_error': 1.0047341499491187}
{'sample_size': 60, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.00012674171364976443, 'weighted_error': 2.167558206685675}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.49152870415803e-06, 'weighted_error': 1.0782248714614657}
{'sample_size': 240, 'difference': 12, 'noise': 0, 'n': 12, 'shap_error': 4.7549566101655334e-05, 'weighted_error': 1.4380316885313842}
{'sample_size': 480, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 2.653667626594651e-06, 'weighted_error': 1.0244458835932926}
{'sample_size': 960, 'difference': 28, 'noise': 0, 'n': 12, 'shap_error': 7.283851339533552e-07, 'weighted_error': 1.0067099585629338}
{'sample_size': 1920, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 1.8521810699764393e-07, 'weighted_error': 1.0017062499503773}
{'sample_size': 60, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.0018408105577642508, 'weighted_error': 7.828847334893349}
{'sample_size': 120, 'difference': -16, 'noise': 0, 'n': 12, 'shap_error': 0.001647754213701073, 'weighted_error': 7.1126665010125905}
{'sample_size': 240, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.0006800468461468423, 'weighted_error': 3.5227670017820496}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 0.00029385606046174054, 'weighted_error': 2.09011659666425}
{'sample_size': 960, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 2.1374104873383028e-05, 'weighted_error': 1.0792914107512885}
{'sample_size': 1920, 'difference': 34, 'noise': 0, 'n': 12, 'shap_error': 1.3150401670324168e-05, 'weighted_error': 1.048784016142949}
{'sample_size': 60, 'difference': -14, 'noise': 0, 'n': 12, 'shap_error': 0.018498570868915994, 'weighted_error': 12.577178188465394}
{'sample_size': 120, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 0.0034781482595823408, 'weighted_error': 3.17677000799242}
{'sample_size': 240, 'difference': -16, 'noise': 0, 'n': 12, 'shap_error': 0.0012701423129589608, 'weighted_error': 1.794908338174053}
{'sample_size': 480, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00036587305437333663, 'weighted_error': 1.2289788787323384}
{'sample_size': 960, 'difference': -24, 'noise': 0, 'n': 12, 'shap_error': 0.00012178557980886983, 'weighted_error': 1.0762185420939523}
{'sample_size': 1920, 'difference': -18, 'noise': 0, 'n': 12, 'shap_error': 1.6912587733321653e-05, 'weighted_error': 1.0105845701017921}
{'sample_size': 60, 'difference': 4, 'noise': 0, 'n': 12, 'shap_error': 0.00014262023179306842, 'weighted_error': 1.4338409158209888}
{'sample_size': 120, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.00023047675834322127, 'weighted_error': 1.7010945380619091}
{'sample_size': 240, 'difference': 18, 'noise': 0, 'n': 12, 'shap_error': 2.4524652260356672e-05, 'weighted_error': 1.074602305039081}
{'sample_size': 480, 'difference': 42, 'noise': 0, 'n': 12, 'shap_error': 2.790980502499856e-05, 'weighted_error': 1.0848997461172722}
{'sample_size': 960, 'difference': 22, 'noise': 0, 'n': 12, 'shap_error': 3.2496186056592697e-06, 'weighted_error': 1.0098851302793301}
{'sample_size': 1920, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 6.004705856823357e-07, 'weighted_error': 1.001826595157692}
{'sample_size': 60, 'difference': 6, 'noise': 0, 'n': 12, 'shap_error': 0.18008420548539475, 'weighted_error': 121.0418819152117}
{'sample_size': 120, 'difference': -32, 'noise': 0, 'n': 12, 'shap_error': 0.022386215270960366, 'weighted_error': 15.922369647601105}
{'sample_size': 240, 'difference': -4, 'noise': 0, 'n': 12, 'shap_error': 0.005204666242016932, 'weighted_error': 4.469368209082683}
{'sample_size': 480, 'difference': -48, 'noise': 0, 'n': 12, 'shap_error': 0.0020881284479254713, 'weighted_error': 2.391922212321898}
{'sample_size': 960, 'difference': 20, 'noise': 0, 'n': 12, 'shap_error': 0.0004290424059351326, 'weighted_error': 1.2859946554066422}
{'sample_size': 1920, 'difference': 48, 'noise': 0, 'n': 12, 'shap_error': 0.00012271465068743628, 'weighted_error': 1.0817999903248048}
{'sample_size': 60, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 0.0003744080520329238, 'weighted_error': 2.9881043060765755}
{'sample_size': 120, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': 0.00012381780091859078, 'weighted_error': 1.6574717065788835}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': 8.792754793855252e-05, 'weighted_error': 1.4668947637362653}
{'sample_size': 480, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 9.612985721269232e-06, 'weighted_error': 1.0510449170302678}
{'sample_size': 960, 'difference': 20, 'noise': 0, 'n': 12, 'shap_error': 5.318235547802591e-06, 'weighted_error': 1.0282397814353026}
{'sample_size': 1920, 'difference': -38, 'noise': 0, 'n': 12, 'shap_error': 1.1780199296835803e-06, 'weighted_error': 1.0062552754711296}
{'sample_size': 60, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.003118142286065925, 'weighted_error': 6.7924060482766775}
{'sample_size': 120, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.0013563766212820831, 'weighted_error': 3.51966817553436}
{'sample_size': 240, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 0.0005888400632814786, 'weighted_error': 2.093856531987244}
{'sample_size': 480, 'difference': -42, 'noise': 0, 'n': 12, 'shap_error': 0.0001345134845144449, 'weighted_error': 1.2498785899151554}
{'sample_size': 960, 'difference': 24, 'noise': 0, 'n': 12, 'shap_error': 4.4072515202688496e-05, 'weighted_error': 1.0818711356640915}
{'sample_size': 1920, 'difference': -36, 'noise': 0, 'n': 12, 'shap_error': 9.977726957337315e-06, 'weighted_error': 1.0185350776449655}
{'sample_size': 60, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.00023997489606837014, 'weighted_error': 5.090835724339458}
{'sample_size': 120, 'difference': 2, 'noise': 0, 'n': 12, 'shap_error': 0.00012152647674074276, 'weighted_error': 3.071653400348708}
{'sample_size': 240, 'difference': -8, 'noise': 0, 'n': 12, 'shap_error': 4.9392377135942475e-05, 'weighted_error': 1.841988458579501}
{'sample_size': 480, 'difference': 44, 'noise': 0, 'n': 12, 'shap_error': 1.4157606013853594e-05, 'weighted_error': 1.241343918486977}
{'sample_size': 960, 'difference': 8, 'noise': 0, 'n': 12, 'shap_error': 2.400503848875561e-06, 'weighted_error': 1.0409211650721604}
{'sample_size': 1920, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': 8.755720771272638e-07, 'weighted_error': 1.0149258227363143}
{'sample_size': 60, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': 6.019648192557258e-05, 'weighted_error': 1.3352838934619802}
{'sample_size': 120, 'difference': 4, 'noise': 0, 'n': 12, 'shap_error': 0.00015223809275326832, 'weighted_error': 1.847939096138395}
{'sample_size': 240, 'difference': -30, 'noise': 0, 'n': 12, 'shap_error': 7.4880820671348474e-06, 'weighted_error': 1.0417073041374116}
{'sample_size': 480, 'difference': -32, 'noise': 0, 'n': 12, 'shap_error': 7.3450948385829665e-06, 'weighted_error': 1.0409109253044575}
{'sample_size': 960, 'difference': 26, 'noise': 0, 'n': 12, 'shap_error': 8.821241307666599e-07, 'weighted_error': 1.0049132727521854}
{'sample_size': 1920, 'difference': 14, 'noise': 0, 'n': 12, 'shap_error': 1.1496048881886185e-07, 'weighted_error': 1.0006403074357169}
{'sample_size': 120, 'difference': 4, 'noise': 0.0005, 'n': 12, 'shap_error': 0.00028468725221443173, 'weighted_error': 2.806970784267757}
{'sample_size': 120, 'difference': 6, 'noise': 0.001, 'n': 12, 'shap_error': 0.00010150575537504193, 'weighted_error': 1.6442516605991613}
{'sample_size': 120, 'difference': 2, 'noise': 0.005, 'n': 12, 'shap_error': 0.00010216035463062735, 'weighted_error': 1.6476953691903882}
{'sample_size': 120, 'difference': -10, 'noise': 0.01, 'n': 12, 'shap_error': 0.0001425113450542581, 'weighted_error': 1.901589687825354}
{'sample_size': 120, 'difference': 2, 'noise': 0.05, 'n': 12, 'shap_error': 0.0012187434665842558, 'weighted_error': 8.661564570790777}
{'sample_size': 120, 'difference': -4, 'noise': 0.1, 'n': 12, 'shap_error': 0.0022149837182476747, 'weighted_error': 14.762660622199677}
{'sample_size': 120, 'difference': 14, 'noise': 0.5, 'n': 12, 'shap_error': 0.031771370552554745, 'weighted_error': 195.25119534228156}
{'sample_size': 120, 'difference': 10, 'noise': 1, 'n': 12, 'shap_error': 0.12953276708643657, 'weighted_error': 793.5382730181907}
{'sample_size': 120, 'difference': -16, 'noise': 0.0005, 'n': 12, 'shap_error': 0.00020353639215654976, 'weighted_error': 2.874944034935423}
{'sample_size': 120, 'difference': -14, 'noise': 0.001, 'n': 12, 'shap_error': 2.1676834561141762e-05, 'weighted_error': 1.1994690606985245}
{'sample_size': 120, 'difference': -12, 'noise': 0.005, 'n': 12, 'shap_error': 4.81000950451452e-05, 'weighted_error': 1.437595986331628}
{'sample_size': 120, 'difference': 6, 'noise': 0.01, 'n': 12, 'shap_error': 3.496794249043198e-05, 'weighted_error': 1.3000993334376778}
{'sample_size': 120, 'difference': 2, 'noise': 0.05, 'n': 12, 'shap_error': 0.000171909871145506, 'weighted_error': 2.032925243759103}
{'sample_size': 120, 'difference': 12, 'noise': 0.1, 'n': 12, 'shap_error': 0.0006582774822274749, 'weighted_error': 4.861215227613392}
{'sample_size': 120, 'difference': -20, 'noise': 0.5, 'n': 12, 'shap_error': 0.016008600841522867, 'weighted_error': 93.40026205224356}
{'sample_size': 120, 'difference': 8, 'noise': 1, 'n': 12, 'shap_error': 0.07709724249802416, 'weighted_error': 490.93732423761077}
{'sample_size': 120, 'difference': -16, 'noise': 0.0005, 'n': 12, 'shap_error': 0.0020374810677791237, 'weighted_error': 8.55843462792721}
{'sample_size': 120, 'difference': 10, 'noise': 0.001, 'n': 12, 'shap_error': 0.001979071378983, 'weighted_error': 8.341746847826206}
{'sample_size': 120, 'difference': -4, 'noise': 0.005, 'n': 12, 'shap_error': 0.003626579366797196, 'weighted_error': 14.453422542161602}
