{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001798176303515455), 'weighted_error': np.float64(2.00360442442032)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00015223454522810562), 'weighted_error': np.float64(1.935908711297233)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00013415697641502825), 'weighted_error': np.float64(1.8305736070745449)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00011477696328585046), 'weighted_error': np.float64(1.698070198378629)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.00012319995809547868), 'weighted_error': np.float64(1.760711089586192)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0001133207370329568), 'weighted_error': np.float64(1.696506207460084)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(6.258118422860523e-05), 'weighted_error': np.float64(1.3091872112184837)}
{'sample_size': 120, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.7081497698697635e-05), 'weighted_error': np.float64(1.2479102164285547)}
{'sample_size': 240, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.6267285436612397e-05), 'weighted_error': np.float64(1.136172943312237)}
{'sample_size': 480, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.90570699300339e-05), 'weighted_error': np.float64(1.2166490095540259)}
{'sample_size': 960, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.563478844432276e-05), 'weighted_error': np.float64(1.1424998212423034)}
{'sample_size': 1920, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.0624042948888034e-05), 'weighted_error': np.float64(1.1678137016480923)}
{'sample_size': 60, 'difference': -12, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0011831310174803904), 'weighted_error': np.float64(2.4986849054398728)}
