{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0057163470981716185, 'weighted_error': 1.0066270525294643}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012936720949590702, 'weighted_error': 1.0014997764861626}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0011803835205670334, 'weighted_error': 1.001368447545229}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00013217286549130802, 'weighted_error': 1.0001532298328282}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00020583795639166343, 'weighted_error': 1.0002386355887243}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.034114100560605e-05, 'weighted_error': 1.0000467671382949}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005375635128298063, 'weighted_error': 1.0210032944701406}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00017856266731784595, 'weighted_error': 1.00697680539629}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001509164120941603, 'weighted_error': 1.0058965626330285}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.55258586584769e-05, 'weighted_error': 1.002560204049174}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.787468862301345e-05, 'weighted_error': 1.0022611854405992}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1736873951835898e-05, 'weighted_error': 1.0008492660737331}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0007301468864688036, 'weighted_error': 1.0619789559568604}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00040861614778065457, 'weighted_error': 1.0346857310121236}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00012239651968489384, 'weighted_error': 1.0103903782682562}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.950311873286675e-05, 'weighted_error': 1.0058995170650133}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.10778170980982e-05, 'weighted_error': 1.0060338476434836}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.9021528481777544e-05, 'weighted_error': 1.0024635858340023}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0008844025282830584, 'weighted_error': 1.0044466682393947}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.3747618450331596e-05, 'weighted_error': 1.000219964933949}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00023262627485407222, 'weighted_error': 1.0011696238640833}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.892630179829622e-05, 'weighted_error': 1.0002459964860744}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.7547966469069887e-05, 'weighted_error': 1.0001385089056962}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.628943032895208e-06, 'weighted_error': 1.0000433871671706}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0040373535043312396, 'weighted_error': 1.015460047130818}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002221006191606796, 'weighted_error': 1.000850467023739}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00026214608513469383, 'weighted_error': 1.0010038115251085}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.453164554895844e-05, 'weighted_error': 1.0002853978567874}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.460764180824421e-05, 'weighted_error': 1.0001325215029542}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.103594332103486e-06, 'weighted_error': 1.0000118865288892}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.0516170687124612e-14, 'weighted_error': 0.9999999999997182}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.482249999403365e-14, 'weighted_error': 0.9999999999997533}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.743037817335861e-14, 'weighted_error': 0.9999999999996736}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3981558048689605e-14, 'weighted_error': 0.9999999999996776}
