{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.01386483835223339, 'weighted_error': 1.016073815145812}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.002920792381748847, 'weighted_error': 1.0033861134062296}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.005789881411104333, 'weighted_error': 1.0067122947544822}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0007141896490384723, 'weighted_error': 1.0008279713432018}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006991014525528932, 'weighted_error': 1.0008104888991793}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000119045693100585, 'weighted_error': 1.0001380111585214}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00022037917864779798, 'weighted_error': 1.0086106477230032}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00022098971000732991, 'weighted_error': 1.008634492324516}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.337516360650045e-05, 'weighted_error': 1.003648282809953}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010653154662925387, 'weighted_error': 1.0041624682514405}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.151232636112475e-05, 'weighted_error': 1.000840543414483}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.390627500094449e-06, 'weighted_error': 1.0002497006474196}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00010130845062325829, 'weighted_error': 1.0085999712149707}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00011004959687466601, 'weighted_error': 1.0093417472648287}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.407162464553427e-05, 'weighted_error': 1.0062880062703192}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.530809718623808e-05, 'weighted_error': 1.0012994862120275}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8964499952591598e-05, 'weighted_error': 1.0016098343352702}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.130684616917322e-06, 'weighted_error': 1.0004355340613387}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0030189794280389183, 'weighted_error': 1.0151791652959028}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0017762510595800626, 'weighted_error': 1.0089307956486155}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0008919873766428243, 'weighted_error': 1.0044848063515546}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00023150664725717952, 'weighted_error': 1.0011640070684535}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00013716840840381016, 'weighted_error': 1.0006896699619703}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.960065379117476e-05, 'weighted_error': 1.0001991070712697}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.007487658516385193, 'weighted_error': 1.0286722237707833}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013472158010535851, 'weighted_error': 1.0051588764808073}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000655109834601787, 'weighted_error': 1.0025086107099923}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0012352000399726208, 'weighted_error': 1.0047298831056297}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005340359849225481, 'weighted_error': 1.0020449398029845}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.870745218012002e-05, 'weighted_error': 1.0003396794211497}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00029932057820603335, 'weighted_error': 1.006610204802862}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.751663845398942e-05, 'weighted_error': 1.0012702229451291}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00016500142221601542, 'weighted_error': 1.0036439229853769}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0002723043732593298, 'weighted_error': 1.006013699823465}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0001021252609637618, 'weighted_error': 1.0022553740247813}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.477771604670422e-05, 'weighted_error': 1.0003263539944103}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.000202585334803623, 'weighted_error': 1.0216035316404664}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.151542077925247e-05, 'weighted_error': 1.0065599422351188}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.134356996890034e-05, 'weighted_error': 1.0033423908060983}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.8926483021604818e-05, 'weighted_error': 1.0020182675652403}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.953632828690828e-06, 'weighted_error': 1.001061444333398}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1964230281779497e-06, 'weighted_error': 1.0002342376241389}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00201174001606516, 'weighted_error': 1.0053275877578252}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.004131597571654379, 'weighted_error': 1.010941495220083}
