{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006002605688462584, 'weighted_error': 1.0006958876368865, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.99521898830638e-05, 'weighted_error': 1.0001158760246103, 'gamma': 0.054}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.169001300805236e-05, 'weighted_error': 1.0000947077664424, 'gamma': 0.054}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.0537908901831636e-05, 'weighted_error': 1.000023810142705, 'gamma': 0.054}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.333977100024099e-06, 'weighted_error': 1.0000085022273044, 'gamma': 0.054}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.7845681151102e-06, 'weighted_error': 1.000010184344446, 'gamma': 0.054}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.6873431988704897e-05, 'weighted_error': 1.0010499514525197, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.680042681364857e-05, 'weighted_error': 1.0010471137538148, 'gamma': 0.048}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 7.071565514694859e-06, 'weighted_error': 1.0002763049080954, 'gamma': 0.048}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.128595551183583e-06, 'weighted_error': 1.0002394370441503, 'gamma': 0.048}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.360823916199419e-06, 'weighted_error': 1.0000922412400526, 'gamma': 0.048}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.520497830572347e-07, 'weighted_error': 1.0000332887947718, 'gamma': 0.048}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.2276005259361536e-05, 'weighted_error': 1.0035885199990553, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.5727206451600034e-05, 'weighted_error': 1.0047304913857775, 'gamma': 0.0014}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.3551616332296724e-05, 'weighted_error': 1.0019991867954476, 'gamma': 0.0014}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2362256137828308e-05, 'weighted_error': 1.0010493850023465, 'gamma': 0.0014}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.1680291218806114e-06, 'weighted_error': 1.0001840241494224, 'gamma': 0.0014}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.095811416679092e-06, 'weighted_error': 1.0001779619925741, 'gamma': 0.0014}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.513519908017976e-05, 'weighted_error': 1.0003274961410091, 'gamma': 0.061}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.36622430607002e-05, 'weighted_error': 1.0001189700975086, 'gamma': 0.061}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.261257763761404e-06, 'weighted_error': 1.0000314786418414, 'gamma': 0.061}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.150301674599458e-06, 'weighted_error': 1.000020868201233, 'gamma': 0.061}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.022814194877152e-06, 'weighted_error': 1.0000202258302653, 'gamma': 0.061}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0274785078366e-06, 'weighted_error': 1.0000051657721523, 'gamma': 0.061}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.976127534464571e-05, 'weighted_error': 1.0002671328823063, 'gamma': 0.044}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.4555090865267887e-05, 'weighted_error': 1.0000940234760034, 'gamma': 0.044}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.3112306542249257e-05, 'weighted_error': 1.0000502109780727, 'gamma': 0.044}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.0307645733747524e-05, 'weighted_error': 1.0000394668837078, 'gamma': 0.044}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.239293930182639e-06, 'weighted_error': 1.000016232851616, 'gamma': 0.044}
