{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0037252791732012543, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0060911633436356}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009746611861109201, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0015936573760147}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0005606211361381285, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0009166647510825}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0006261309589744298, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.001023787116878}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.7607467577830174e-05, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0000614903391087}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.508214206790349e-05, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0000900644377795}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0007275995602119043, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0027321027480465}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00017942898581045508, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0006737451165826}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00031205356835869156, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0011717542717709}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 9.231673824559514e-05, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0003466516897446}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.27032187865837e-05, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0000852507050946}
{'sample_size': 1280, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.2664725336195221e-05, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0000475549508725}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00035982195701964395, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0018840677003722}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.955567561390584e-05, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0004689072245136}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00021398286330226777, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0011204047718505}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 2.485925704925518e-05, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0001301738764765}
