{'sample_size': 40, 'difference': 15, 'noise': 0, 'n': 8, 'shap_error': 0.0580274920172451, 'weighted_error': 1.0672724334425734}
{'sample_size': 80, 'difference': -4, 'noise': 0, 'n': 8, 'shap_error': 0.04962795273421826, 'weighted_error': 1.0575346315317893}
{'sample_size': 160, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 0.01028665021714241, 'weighted_error': 1.0119254786999992}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 3.6652444082161784e-14, 'weighted_error': 0.9999999999999644}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 3.665244424781561e-14, 'weighted_error': 0.9999999999999645}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 3.665244416104248e-14, 'weighted_error': 0.9999999999999643}
{'sample_size': 40, 'difference': 3, 'noise': 0, 'n': 8, 'shap_error': 0.004637162645593856, 'weighted_error': 1.1811813102839788}
{'sample_size': 80, 'difference': 7, 'noise': 0, 'n': 8, 'shap_error': 0.0012143273029836573, 'weighted_error': 1.0474459966126028}
{'sample_size': 160, 'difference': -4, 'noise': 0, 'n': 8, 'shap_error': 0.00015409592352230456, 'weighted_error': 1.0060208654387777}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.707790776354184e-14, 'weighted_error': 0.9999999999985169}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.707790777170019e-14, 'weighted_error': 0.9999999999985169}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.707790771726637e-14, 'weighted_error': 0.9999999999985169}
{'sample_size': 40, 'difference': 1, 'noise': 0, 'n': 8, 'shap_error': 0.0026696769678800957, 'weighted_error': 1.2266182019921674}
{'sample_size': 80, 'difference': 5, 'noise': 0, 'n': 8, 'shap_error': 0.0001903530760931463, 'weighted_error': 1.0161579304491737}
{'sample_size': 160, 'difference': -8, 'noise': 0, 'n': 8, 'shap_error': 6.0902711245273595e-05, 'weighted_error': 1.0051696662024945}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.636008780935992e-13, 'weighted_error': 0.9999999999881936}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.6360087829442562e-13, 'weighted_error': 0.9999999999881936}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.6360087826480603e-13, 'weighted_error': 0.9999999999881934}
{'sample_size': 40, 'difference': 9, 'noise': 0, 'n': 8, 'shap_error': 0.011738661315959024, 'weighted_error': 1.0590209590274866}
{'sample_size': 80, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.008985669900229185, 'weighted_error': 1.0451791621250954}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0015327752139762832, 'weighted_error': 1.0077066083596669}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 3.172160446392237e-14, 'weighted_error': 0.9999999999998611}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 3.172160439855263e-14, 'weighted_error': 0.9999999999998613}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 3.1721604426578154e-14, 'weighted_error': 0.9999999999998611}
{'sample_size': 40, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.0759296380975279, 'weighted_error': 1.2907539259707006}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.010083261533360076, 'weighted_error': 1.0386113190522201}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.005945371457022977, 'weighted_error': 1.0227664178316789}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 6.197666767099788e-14, 'weighted_error': 0.999999999999789}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 6.197666758016816e-14, 'weighted_error': 0.999999999999789}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 6.197666766485036e-14, 'weighted_error': 0.999999999999789}
{'sample_size': 40, 'difference': 1, 'noise': 0, 'n': 8, 'shap_error': 0.013290936181282537, 'weighted_error': 1.2935198640554737}
{'sample_size': 80, 'difference': -3, 'noise': 0, 'n': 8, 'shap_error': 0.0014379876049364986, 'weighted_error': 1.031756806867753}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00023574746248098208, 'weighted_error': 1.0052063224838235}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 2.3139509429126092e-14, 'weighted_error': 0.9999999999996584}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 2.3139509410031474e-14, 'weighted_error': 0.9999999999996583}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 2.3139509387982906e-14, 'weighted_error': 0.9999999999996583}
{'sample_size': 40, 'difference': 6, 'noise': 0, 'n': 8, 'shap_error': 0.0012873355362497403, 'weighted_error': 1.1372814167467795}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 8, 'shap_error': 0.0005102585006615605, 'weighted_error': 1.0544135619367048}
{'sample_size': 160, 'difference': 3, 'noise': 0, 'n': 8, 'shap_error': 0.00011835182435504892, 'weighted_error': 1.0126211235169877}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.445344171716564e-14, 'weighted_error': 0.9999999999984684}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.4453441732165428e-14, 'weighted_error': 0.9999999999984684}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.4453441724627508e-14, 'weighted_error': 0.9999999999984684}
{'sample_size': 40, 'difference': -1, 'noise': 0, 'n': 8, 'shap_error': 0.0575415986014807, 'weighted_error': 1.1523846909484663}
{'sample_size': 80, 'difference': 9, 'noise': 0, 'n': 8, 'shap_error': 0.010851653627542365, 'weighted_error': 1.0287379133921086}
{'sample_size': 160, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.002555586905733051, 'weighted_error': 1.006767858355246}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.0268274594818867e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.0268274579553672e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.0268274586779691e-14, 'weighted_error': 0.9999999999999741}
{'sample_size': 40, 'difference': 7, 'noise': 0, 'n': 8, 'shap_error': 0.002131848524132295, 'weighted_error': 1.1498239182076255}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.0005504995950478998, 'weighted_error': 1.0386885525030827}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.00011391324137557436, 'weighted_error': 1.0080056493865086}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 2.375145599409205e-14, 'weighted_error': 0.9999999999987966}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 2.375145600850398e-14, 'weighted_error': 0.9999999999987964}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 2.3751456014181876e-14, 'weighted_error': 0.9999999999987966}
{'sample_size': 40, 'difference': 3, 'noise': 0, 'n': 8, 'shap_error': 0.0017201980773666149, 'weighted_error': 1.0360351174560436}
{'sample_size': 80, 'difference': -2, 'noise': 0, 'n': 8, 'shap_error': 0.002528761619777202, 'weighted_error': 1.0529729594278423}
{'sample_size': 160, 'difference': 14, 'noise': 0, 'n': 8, 'shap_error': 0.00032083638513049023, 'weighted_error': 1.006720948533619}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.503817896987182e-14, 'weighted_error': 0.9999999999994281}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.5038178935602226e-14, 'weighted_error': 0.9999999999994283}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.5038179002566104e-14, 'weighted_error': 0.9999999999994283}
{'sample_size': 80, 'difference': -13, 'noise': 0.0005, 'n': 8, 'shap_error': 0.04065358060120844, 'weighted_error': 1.0471304199432743}
{'sample_size': 80, 'difference': 0, 'noise': 0.001, 'n': 8, 'shap_error': 0.04203993491809763, 'weighted_error': 1.0487376174882472}
