{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 3.6652444271688854e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 3.665244431415459e-14, 'weighted_error': 0.9999999999999643, 'gamma': 0.054}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 3.665244417620868e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 3.6652444222526765e-14, 'weighted_error': 0.9999999999999643, 'gamma': 0.054}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 3.6652444060783035e-14, 'weighted_error': 0.9999999999999643, 'gamma': 0.054}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 3.66524443684591e-14, 'weighted_error': 0.9999999999999644, 'gamma': 0.054}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 4.707790782525829e-14, 'weighted_error': 0.999999999998517, 'gamma': 0.048}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 4.7077907880513805e-14, 'weighted_error': 0.999999999998517, 'gamma': 0.048}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 4.70779077495169e-14, 'weighted_error': 0.9999999999985169, 'gamma': 0.048}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 4.7077907739836044e-14, 'weighted_error': 0.999999999998517, 'gamma': 0.048}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 4.7077907777577226e-14, 'weighted_error': 0.9999999999985169, 'gamma': 0.048}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 4.707790776855457e-14, 'weighted_error': 0.9999999999985169, 'gamma': 0.048}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 1.6360087852455694e-13, 'weighted_error': 0.9999999999881934, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 1.6360087831572186e-13, 'weighted_error': 0.9999999999881936, 'gamma': 0.0014}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 1.6360087825003926e-13, 'weighted_error': 0.9999999999881937, 'gamma': 0.0014}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 1.6360087856489848e-13, 'weighted_error': 0.9999999999881937, 'gamma': 0.0014}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 1.63600878246646e-13, 'weighted_error': 0.9999999999881936, 'gamma': 0.0014}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 1.6360087850002918e-13, 'weighted_error': 0.9999999999881934, 'gamma': 0.0014}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 3.1721604434042924e-14, 'weighted_error': 0.9999999999998613, 'gamma': 0.061}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 3.172160448705853e-14, 'weighted_error': 0.9999999999998611, 'gamma': 0.061}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 3.1721604494829844e-14, 'weighted_error': 0.9999999999998613, 'gamma': 0.061}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 3.1721604447246424e-14, 'weighted_error': 0.9999999999998611, 'gamma': 0.061}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 3.1721604442026544e-14, 'weighted_error': 0.9999999999998611, 'gamma': 0.061}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 3.1721604455893576e-14, 'weighted_error': 0.9999999999998611, 'gamma': 0.061}
{'sample_size': 500, 'difference': -244, 'noise': 0, 'n': 8, 'shap_error': 6.197666764879738e-14, 'weighted_error': 0.999999999999789, 'gamma': 0.044}
{'sample_size': 1000, 'difference': -744, 'noise': 0, 'n': 8, 'shap_error': 6.197666760658865e-14, 'weighted_error': 0.999999999999789, 'gamma': 0.044}
{'sample_size': 2000, 'difference': -1744, 'noise': 0, 'n': 8, 'shap_error': 6.19766675941008e-14, 'weighted_error': 0.9999999999997892, 'gamma': 0.044}
{'sample_size': 4000, 'difference': -3744, 'noise': 0, 'n': 8, 'shap_error': 6.197666771780635e-14, 'weighted_error': 0.9999999999997892, 'gamma': 0.044}
{'sample_size': 8000, 'difference': -7744, 'noise': 0, 'n': 8, 'shap_error': 6.197666770260948e-14, 'weighted_error': 0.999999999999789, 'gamma': 0.044}
{'sample_size': 16000, 'difference': -15744, 'noise': 0, 'n': 8, 'shap_error': 6.197666761030689e-14, 'weighted_error': 0.9999999999997892, 'gamma': 0.044}
