{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.009965902021896279, 'weighted_error': 1.0115536547509267, 'gamma': 0.054}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.008129981192664098, 'weighted_error': 1.0094252232310232, 'gamma': 0.054}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0013700723943474548, 'weighted_error': 1.0015883551876463, 'gamma': 0.054}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.00232177948965638, 'weighted_error': 1.002691671290668, 'gamma': 0.054}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.002250972992529259, 'weighted_error': 1.00260961135, 'gamma': 0.054}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.0009270268208325067, 'weighted_error': 1.0010747307469254, 'gamma': 0.054}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 0.001103983307869787, 'weighted_error': 1.0431341951385156, 'gamma': 0.048}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.269007113043613e-05, 'weighted_error': 1.002449382243134, 'gamma': 0.048}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.7431615997025294e-05, 'weighted_error': 1.0014624690724279, 'gamma': 0.048}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 4.469782693315019e-05, 'weighted_error': 1.0017464536737264, 'gamma': 0.048}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 1.7177291069408358e-05, 'weighted_error': 1.0006711089213134, 'gamma': 0.048}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 5.181977584030794e-06, 'weighted_error': 1.0002024352484464, 'gamma': 0.048}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 3.8004892299369935e-05, 'weighted_error': 1.0032261432997482, 'gamma': 0.0014}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 8.331501331945575e-05, 'weighted_error': 1.0070723265888897, 'gamma': 0.0014}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 8, 'shap_error': 6.448153058993415e-05, 'weighted_error': 1.0054737100414488, 'gamma': 0.0014}
