{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.008948673915160533, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0146318427013499}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.003380755689456164, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0055278241264394}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0015943318850819158, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 1.0026068749697163}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 2.5987514101480425e-14, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 0.9999999999999643}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 2.5987514101480425e-14, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 0.9999999999999643}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 2.5987514101480425e-14, 'shap_norm_sq': 11.283093307712885, 'weighted_error': 0.9999999999999643}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.01343806717238289, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0504591476893106}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.004188807475580725, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.015728722619529}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0005662453903954494, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 1.0021262055058817}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.8855100789472264e-14, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 0.9999999999998699}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.8855100789472264e-14, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 0.9999999999998699}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.8855100789472264e-14, 'shap_norm_sq': 7.853769710632695, 'weighted_error': 0.9999999999998699}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.005857304866001511, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0306686552821844}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00508274031323223, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0266132636724177}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0007934720846272618, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 1.0041546344643841}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 9.400785155122247e-14, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 0.9999999999995126}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 9.400785155122247e-14, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 0.9999999999995126}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 9.400785155122247e-14, 'shap_norm_sq': 4.301001218039636, 'weighted_error': 0.9999999999995126}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0033038441112315333, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 1.0169208610918246}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.002394759938992136, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 1.0122648430131989}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0016464003164748755, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 1.00843219745767}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.6398077591391656e-13, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 0.9999999999993758}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.6398077591391656e-13, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 0.9999999999993758}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.6398077591391656e-13, 'shap_norm_sq': 3.465094408658432, 'weighted_error': 0.9999999999993758}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0033499713060086635, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 1.0372564787853158}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00046520605590148447, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 1.0051737521468274}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.00015617118121336276, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 1.0017368298055536}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 1.9854205660476292e-13, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 0.999999999997661}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 1.9854205660476292e-13, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 0.999999999997661}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 1.9854205660476292e-13, 'shap_norm_sq': 6.931122240463873, 'weighted_error': 0.999999999997661}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.009360533965688653, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 1.0399192017223564}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.004255378766212262, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 1.0181475872184855}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.0016000453217198207, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 1.0068235148187576}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 4.664502255438791e-13, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 0.9999999999980187}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 4.664502255438791e-13, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 0.9999999999980187}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 4.664502255438791e-13, 'shap_norm_sq': 0.22582548026109683, 'weighted_error': 0.9999999999980187}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.013329538758526861, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0329590469563261}
{'sample_size': 80, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.006739174045338819, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.016663457503987}
{'sample_size': 160, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.000440148246740946, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 1.0010883401442028}
{'sample_size': 320, 'difference': -64, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 640, 'difference': -384, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 1280, 'difference': -1024, 'noise': 0, 'n': 8, 'shap_error': 7.432064074024149e-14, 'shap_norm_sq': 12.492635981112347, 'weighted_error': 0.9999999999998124}
{'sample_size': 40, 'difference': 2, 'noise': 0, 'n': 8, 'shap_error': 0.002989202193344525, 'shap_norm_sq': 5.389242494544203, 'weighted_error': 1.0355243840444188}
