{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.004790086793066953, 'weighted_error': 1.0055532485808656}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.002583481610061455, 'weighted_error': 1.0029950899550468}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.00011061598577783718, 'weighted_error': 1.000128243275684}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.00112748666460274, 'weighted_error': 1.001307123967042}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 0.00024012623596876315, 'weighted_error': 1.0002783820564516}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.00014648320109871742, 'weighted_error': 1.0001698164981006}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.0006079754169029066, 'weighted_error': 1.0237544535921432}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.00013429431013053562, 'weighted_error': 1.0052472187460169}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 6.866060929058123e-05, 'weighted_error': 1.0026825870613187}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.0002421968600023297, 'weighted_error': 1.0094632424716787}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 3.8211909086909826e-05, 'weighted_error': 1.0014929547595135}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 6.022791980589314e-06, 'weighted_error': 1.0002353304619385}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.002618804228740961, 'weighted_error': 1.2223002642927454}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.001036065769110616, 'weighted_error': 1.0879467105868248}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.0006739133406356158, 'weighted_error': 1.057205355771119}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.0002526013968629798, 'weighted_error': 1.0214430292151475}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 5.6157992198775625e-05, 'weighted_error': 1.0047671237850093}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 0.0001856425980637086, 'weighted_error': 1.0157579377558315}
{'sample_size': 40, 'difference': -6, 'noise': 0, 'n': 8, 'shap_error': 0.000476293195230164, 'weighted_error': 1.0023947610733628}
{'sample_size': 80, 'difference': -12, 'noise': 0, 'n': 8, 'shap_error': 0.0016363099770131384, 'weighted_error': 1.0082272492069086}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 8, 'shap_error': 0.00011553788905716352, 'weighted_error': 1.000580916238878}
{'sample_size': 320, 'difference': -14, 'noise': 0, 'n': 8, 'shap_error': 0.00012544276502468672, 'weighted_error': 1.0006307077102354}
{'sample_size': 640, 'difference': -11, 'noise': 0, 'n': 8, 'shap_error': 0.0003217374686662189, 'weighted_error': 1.0016176854678767}
{'sample_size': 1280, 'difference': -5, 'noise': 0, 'n': 8, 'shap_error': 2.75765978117459e-05, 'weighted_error': 1.0001386519458093}
