{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 85.93579480155145}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 30.497016082279483}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 17.294892519046652}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 5.831188850755659}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.4051085097273845}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.869219682586461}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 7.563991797432538}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.303730053521644}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.379477886412348}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.6028471445837554}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.3727523590613812}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.19792876597063463}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 45.15445807110584}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 24.859769670690593}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 11.930495960061114}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 4.685299917133243}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.768630991633206}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.0307282162844422}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 376.1130279516003}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 194.2700482192839}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 88.04814383880164}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 36.55072090805199}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 21.88520744648452}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 8.546687225306666}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 69.70342075370031}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 36.10877962942619}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 16.223919613485304}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 5.525646484616752}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.4543370248690426}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.5693094946064794}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 89.44253957113372}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 34.06851657350426}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.938860849100912}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.712801869686773}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.848473135208994}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2.262533736887429}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 60.41564784728186}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 28.27080395934894}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 12.193120343889772}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 7.424695467087212}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3.4564780576316583}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1.6027422369069508}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 28.94345465990729}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 15.865307167433803}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 6.08625595140507}
