{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 547.8957632007474}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 546.0322694782371}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 545.0906058170168}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 538.1882156278673}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 529.3038023058247}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 517.4726367747819}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 311.33156862830333}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 310.9467870300101}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 308.4912383548823}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 307.737020376053}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 301.8641526148453}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 290.8472181512468}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 615.6275733719119}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 613.8273385569923}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 610.2910577876694}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 608.2049382176507}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 598.9310822818431}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 578.4144174460321}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 2348.1701333847773}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2338.6161007874193}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2334.9349774717384}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2311.8970788709753}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2264.850128090642}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 2191.071836978919}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 506.0718960018087}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 504.6977087072942}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 504.0328649384353}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 498.8775717054733}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 491.20731022793507}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 478.5989179582265}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 170.51188633315647}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 170.17998438207755}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 169.36645536743663}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 168.32994923923874}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 165.21369321125104}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 160.2537527393774}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 514.820852922562}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 511.9591107790719}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 510.526684030082}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 503.2941507233489}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 493.7741155736175}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 479.65706704520346}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 455.785829392876}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 454.21744705332924}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 451.8061900951804}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 447.8122600985819}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 441.2796409173093}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 427.0671043641183}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 680.0157011910184}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 677.6314963498472}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 674.7922986848354}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 669.0237682197}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 663.0863996766388}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 634.2346735885269}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 615.0901653838113}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 614.6670948623059}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 610.279651554133}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 609.5679023334574}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 594.7713047384977}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 580.3685700531239}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 545.1791598552013}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 545.6340443946413}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 544.7174982106769}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 544.9187917501437}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 548.6399835627886}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 546.7022440997978}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 546.8274700935839}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 545.1614393013001}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 311.0953041098427}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 310.98618209819136}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 310.98205610386765}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 310.53499798604827}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 310.5318920135631}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 309.80472785759576}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 310.8528455827108}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 310.67914563986193}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 615.7819606549599}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 615.7776231110405}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 611.9028959407465}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 614.2562644293997}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 615.9818435015663}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 614.0019925701594}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 616.8210050623154}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 612.7066926817565}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 2341.509901492394}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 2339.420892797631}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 2337.315519275436}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 2341.132358588406}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 2342.008797490838}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 2343.6655770738275}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 2345.177981930794}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 2341.6652188359267}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 506.35511175785246}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 505.77212350895576}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 505.5124796311597}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 506.21738943481074}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 506.42320218386936}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 506.237591847218}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 506.6354787502549}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 506.1993222615632}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 169.86434174925174}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 170.30044242151376}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 169.92559436132882}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 170.16181560482283}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 170.0622111091807}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 170.33442829679058}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 170.12763978509918}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 169.99753060004423}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 510.5146441672973}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 511.0147012037113}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 511.9062935698752}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 514.4974395229307}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 510.4659612536384}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 512.536469452013}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 513.0828553167892}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 511.9652243833234}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 454.0589764219363}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 452.70992179091525}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 455.16379246870844}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 454.0547967203963}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 453.94384379755314}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 455.5821584490655}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 455.4834853173978}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 454.4659878726136}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 677.3183495370065}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 677.4531113996348}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 676.4904750127732}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 678.0379602330629}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 676.1761260109654}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 678.1370044116813}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 676.5194436007474}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 679.2679664365055}
{'sample_size': 1010, 'difference': 0, 'noise': 0.0005, 'n': 101, 'shap_error': 613.7949279585042}
{'sample_size': 1010, 'difference': 0, 'noise': 0.001, 'n': 101, 'shap_error': 613.4843564710793}
{'sample_size': 1010, 'difference': 0, 'noise': 0.005, 'n': 101, 'shap_error': 615.535572306006}
{'sample_size': 1010, 'difference': 0, 'noise': 0.01, 'n': 101, 'shap_error': 614.1828212360365}
{'sample_size': 1010, 'difference': 0, 'noise': 0.05, 'n': 101, 'shap_error': 613.0126779503428}
{'sample_size': 1010, 'difference': 0, 'noise': 0.1, 'n': 101, 'shap_error': 614.4591310256009}
{'sample_size': 1010, 'difference': 0, 'noise': 0.5, 'n': 101, 'shap_error': 613.0674008768478}
{'sample_size': 1010, 'difference': 0, 'noise': 1, 'n': 101, 'shap_error': 612.5767889065133}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 548.8344647233549}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 613.9492574463642}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 1333.2356144532775}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 534.2290080540986}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 585.5696826689373}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 478.9215272915082}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 3926.0512438198266}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 654.4343029091066}
