{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(232.19942661061376)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(200.17631229483135)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(165.92290157572793)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(140.99617262032146)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(133.5497861150853)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(153.01424923644964)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(188.84131367109833)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(164.29837078587968)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(160.27712493162713)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(166.20661695760137)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(160.10671583177322)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(156.89004501513398)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(291.3151850451725)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(386.38204791731533)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(316.5776382017444)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(351.1250086904815)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(345.2689924370012)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(333.17847463034076)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(254.49982722523904)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(204.83203714584275)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(177.91730623140268)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(121.974633930264)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(139.83303193456078)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(127.52569150867149)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(136.58000655353797)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(159.43045374162807)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(170.12640033923407)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(148.79659239306147)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(168.15700359942238)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(156.24043728782615)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(222.29627458293837)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(171.79810239383076)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(168.75515386572857)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(126.35802901284444)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(137.80911819594849)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(132.347032435657)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(2653.724718354283)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(857.8353705919849)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1157.9770963749118)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1156.5272258479583)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1259.774245411742)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1125.4921708092504)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(194.2799223880483)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(206.31432406704536)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(180.45705266638808)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(173.78969303268093)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(182.6762149160196)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(175.11596810895347)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(2563.2272467350804)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(2313.77662975836)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1752.533748156098)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1496.3458106258408)}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1488.5411535835512)}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(1684.5682858183275)}
{'sample_size': 505, 'difference': -101, 'noise': 0, 'n': 101, 'shap_error': np.float64(169.2207905827692)}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(131.23475865493253)}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(170.3631559572675)}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': np.float64(146.91408465675713)}
