{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 60, 'shap_error': 0.00022266588539187034}
{'sample_size': 1000, 'difference': -102, 'noise': 0, 'n': 60, 'shap_error': 0.0001942517323938747}
{'sample_size': 2000, 'difference': 144, 'noise': 0, 'n': 60, 'shap_error': 6.051917786318799e-05}
{'sample_size': 4000, 'difference': 90, 'noise': 0, 'n': 60, 'shap_error': 3.495050696562206e-05}
{'sample_size': 8000, 'difference': -140, 'noise': 0, 'n': 60, 'shap_error': 1.2749968285095209e-05}
{'sample_size': 16000, 'difference': -128, 'noise': 0, 'n': 60, 'shap_error': 6.476204641485679e-06}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 3.6189261673300866e-06}
{'sample_size': 1000, 'difference': -108, 'noise': 0, 'n': 60, 'shap_error': 1.911884447624997e-06}
{'sample_size': 2000, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 5.214958998019993e-07}
{'sample_size': 4000, 'difference': 50, 'noise': 0, 'n': 60, 'shap_error': 3.165739362005382e-07}
{'sample_size': 8000, 'difference': -68, 'noise': 0, 'n': 60, 'shap_error': 1.3347208351119947e-07}
{'sample_size': 16000, 'difference': 304, 'noise': 0, 'n': 60, 'shap_error': 6.803965328902628e-08}
{'sample_size': 500, 'difference': -50, 'noise': 0, 'n': 60, 'shap_error': 0.0003764893780374232}
{'sample_size': 1000, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 0.0001691291923164716}
{'sample_size': 2000, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 7.074305710463768e-05}
{'sample_size': 4000, 'difference': 96, 'noise': 0, 'n': 60, 'shap_error': 2.7926895711524753e-05}
{'sample_size': 8000, 'difference': -114, 'noise': 0, 'n': 60, 'shap_error': 1.306972520196793e-05}
{'sample_size': 16000, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 6.5989154406143e-06}
{'sample_size': 500, 'difference': -64, 'noise': 0, 'n': 60, 'shap_error': 0.0007840463592303059}
{'sample_size': 1000, 'difference': 30, 'noise': 0, 'n': 60, 'shap_error': 0.00023242581889150061}
{'sample_size': 2000, 'difference': -18, 'noise': 0, 'n': 60, 'shap_error': 0.00013420980708113355}
{'sample_size': 4000, 'difference': 70, 'noise': 0, 'n': 60, 'shap_error': 5.7267239188555185e-05}
{'sample_size': 8000, 'difference': -46, 'noise': 0, 'n': 60, 'shap_error': 2.974592954722656e-05}
{'sample_size': 16000, 'difference': 164, 'noise': 0, 'n': 60, 'shap_error': 1.0331378808589756e-05}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 0.00019051979512863378}
{'sample_size': 1000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.00011523155583329837}
{'sample_size': 2000, 'difference': -50, 'noise': 0, 'n': 60, 'shap_error': 3.7318506961744724e-05}
{'sample_size': 4000, 'difference': 104, 'noise': 0, 'n': 60, 'shap_error': 2.7598500904674187e-05}
{'sample_size': 8000, 'difference': 4, 'noise': 0, 'n': 60, 'shap_error': 1.2353383319516265e-05}
{'sample_size': 16000, 'difference': -24, 'noise': 0, 'n': 60, 'shap_error': 5.7698292173730475e-06}
{'sample_size': 500, 'difference': -26, 'noise': 0, 'n': 60, 'shap_error': 0.0003969440623641343}
{'sample_size': 1000, 'difference': -64, 'noise': 0, 'n': 60, 'shap_error': 0.00010553362847482403}
{'sample_size': 2000, 'difference': -118, 'noise': 0, 'n': 60, 'shap_error': 5.828210749888284e-05}
{'sample_size': 4000, 'difference': -34, 'noise': 0, 'n': 60, 'shap_error': 3.434193799839654e-05}
{'sample_size': 8000, 'difference': -56, 'noise': 0, 'n': 60, 'shap_error': 1.4393261791884966e-05}
{'sample_size': 16000, 'difference': -272, 'noise': 0, 'n': 60, 'shap_error': 7.736987322484869e-06}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 60, 'shap_error': 0.0009692732178433078}
{'sample_size': 1000, 'difference': -40, 'noise': 0, 'n': 60, 'shap_error': 0.00025038729226083047}
{'sample_size': 2000, 'difference': 28, 'noise': 0, 'n': 60, 'shap_error': 0.00011803273999555368}
{'sample_size': 4000, 'difference': 110, 'noise': 0, 'n': 60, 'shap_error': 5.134151337624012e-05}
{'sample_size': 8000, 'difference': 64, 'noise': 0, 'n': 60, 'shap_error': 2.826286965404723e-05}
{'sample_size': 16000, 'difference': 308, 'noise': 0, 'n': 60, 'shap_error': 1.4559425944247849e-05}
