{'sample_size': 500, 'difference': -68, 'noise': 0, 'n': 60, 'shap_error': 0.0004954570002156618}
{'sample_size': 1000, 'difference': -138, 'noise': 0, 'n': 60, 'shap_error': 0.00016428887168931576}
{'sample_size': 2000, 'difference': -88, 'noise': 0, 'n': 60, 'shap_error': 4.9476745692124475e-05}
{'sample_size': 4000, 'difference': 102, 'noise': 0, 'n': 60, 'shap_error': 2.385664335667871e-05}
{'sample_size': 8000, 'difference': 140, 'noise': 0, 'n': 60, 'shap_error': 1.4177484863174421e-05}
{'sample_size': 16000, 'difference': -470, 'noise': 0, 'n': 60, 'shap_error': 5.592009070498914e-06}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 1.8831689208854875e-06}
{'sample_size': 1000, 'difference': -60, 'noise': 0, 'n': 60, 'shap_error': 1.1090855706697943e-06}
{'sample_size': 2000, 'difference': -32, 'noise': 0, 'n': 60, 'shap_error': 5.821000955253794e-07}
{'sample_size': 4000, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 2.956845570597646e-07}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': 1.2487388479043806e-07}
{'sample_size': 16000, 'difference': 174, 'noise': 0, 'n': 60, 'shap_error': 6.298889600370581e-08}
{'sample_size': 500, 'difference': -54, 'noise': 0, 'n': 60, 'shap_error': 0.00026581958849130255}
{'sample_size': 1000, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.00019943469916780697}
{'sample_size': 2000, 'difference': 42, 'noise': 0, 'n': 60, 'shap_error': 5.319005949689731e-05}
{'sample_size': 4000, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 3.7638419478583347e-05}
{'sample_size': 8000, 'difference': 28, 'noise': 0, 'n': 60, 'shap_error': 1.4947909500742239e-05}
{'sample_size': 16000, 'difference': 64, 'noise': 0, 'n': 60, 'shap_error': 5.094057480796638e-06}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 0.0008154250902355607}
{'sample_size': 1000, 'difference': -52, 'noise': 0, 'n': 60, 'shap_error': 0.0004244742036010196}
{'sample_size': 2000, 'difference': 58, 'noise': 0, 'n': 60, 'shap_error': 0.00018264213469584975}
{'sample_size': 4000, 'difference': 88, 'noise': 0, 'n': 60, 'shap_error': 6.315291762858437e-05}
{'sample_size': 8000, 'difference': 90, 'noise': 0, 'n': 60, 'shap_error': 2.7604452765115542e-05}
{'sample_size': 16000, 'difference': -16, 'noise': 0, 'n': 60, 'shap_error': 2.008194280731788e-05}
{'sample_size': 500, 'difference': -74, 'noise': 0, 'n': 60, 'shap_error': 0.000372955841492015}
{'sample_size': 1000, 'difference': -74, 'noise': 0, 'n': 60, 'shap_error': 0.0001433389827870676}
{'sample_size': 2000, 'difference': 60, 'noise': 0, 'n': 60, 'shap_error': 6.289625328298018e-05}
{'sample_size': 4000, 'difference': 104, 'noise': 0, 'n': 60, 'shap_error': 2.4970108163202007e-05}
{'sample_size': 8000, 'difference': -262, 'noise': 0, 'n': 60, 'shap_error': 1.105351728066478e-05}
{'sample_size': 16000, 'difference': -98, 'noise': 0, 'n': 60, 'shap_error': 8.339197180493624e-06}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 0.0003229384934431443}
{'sample_size': 1000, 'difference': -82, 'noise': 0, 'n': 60, 'shap_error': 0.0001831829380958184}
{'sample_size': 2000, 'difference': 30, 'noise': 0, 'n': 60, 'shap_error': 6.29430178765137e-05}
{'sample_size': 4000, 'difference': -10, 'noise': 0, 'n': 60, 'shap_error': 2.810795371324219e-05}
{'sample_size': 8000, 'difference': -260, 'noise': 0, 'n': 60, 'shap_error': 1.5883440209613435e-05}
{'sample_size': 16000, 'difference': -240, 'noise': 0, 'n': 60, 'shap_error': 7.413565916806059e-06}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.0005753387835810053}
{'sample_size': 1000, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 0.0002565559743230769}
{'sample_size': 2000, 'difference': 40, 'noise': 0, 'n': 60, 'shap_error': 0.00014565000824601852}
{'sample_size': 4000, 'difference': 190, 'noise': 0, 'n': 60, 'shap_error': 5.366825944089912e-05}
{'sample_size': 8000, 'difference': 190, 'noise': 0, 'n': 60, 'shap_error': 2.3095854189290482e-05}
{'sample_size': 16000, 'difference': 16, 'noise': 0, 'n': 60, 'shap_error': 1.2735268678681162e-05}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 60, 'shap_error': 1.3561756234135052e-05}
{'sample_size': 1000, 'difference': -38, 'noise': 0, 'n': 60, 'shap_error': 5.408424009341902e-06}
{'sample_size': 2000, 'difference': -26, 'noise': 0, 'n': 60, 'shap_error': 3.801140459470715e-06}
{'sample_size': 4000, 'difference': 26, 'noise': 0, 'n': 60, 'shap_error': 1.9422651396940167e-06}
{'sample_size': 8000, 'difference': 124, 'noise': 0, 'n': 60, 'shap_error': 7.364317326316396e-07}
{'sample_size': 16000, 'difference': 372, 'noise': 0, 'n': 60, 'shap_error': 4.9834385370098e-07}
{'sample_size': 500, 'difference': -66, 'noise': 0, 'n': 60, 'shap_error': 0.00043526673957417346}
{'sample_size': 1000, 'difference': -30, 'noise': 0, 'n': 60, 'shap_error': 0.00016239535255278126}
{'sample_size': 2000, 'difference': -62, 'noise': 0, 'n': 60, 'shap_error': 6.691021081883886e-05}
{'sample_size': 4000, 'difference': 116, 'noise': 0, 'n': 60, 'shap_error': 4.436624774039702e-05}
{'sample_size': 8000, 'difference': 166, 'noise': 0, 'n': 60, 'shap_error': 1.9883526175067034e-05}
