{'sample_size': 500, 'noise': 0, 'shap_error': 0.10602048673042233, 'weighted_error': 1.001612190916092, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.17347516573294536, 'weighted_error': 1.0026379727404897, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.016599625976030825, 'weighted_error': 1.0002524243479731, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.028617151481524456, 'weighted_error': 1.0004352429812835, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.019277717562732086, 'weighted_error': 1.000293111171526, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.00885051994784235, 'weighted_error': 1.0001345846567107, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.0002870652695972086, 'weighted_error': 1.0000055145580955, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.00014197354280475464, 'weighted_error': 1.0000027280800892, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 8.668275214251244e-05, 'weighted_error': 1.000001666968014, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 5.848581624768442e-05, 'weighted_error': 1.0000011237161308, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 1.0105678055399069e-05, 'weighted_error': 1.0000001944944203, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 1.729424384111452e-05, 'weighted_error': 1.0000003318948214, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.04250548936417149, 'weighted_error': 1.0004625449343185, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.03118498089776906, 'weighted_error': 1.0003393455490566, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.0027968460702864897, 'weighted_error': 1.0000304347564923, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.004575891119219695, 'weighted_error': 1.0000497913002153, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.0016700687203139383, 'weighted_error': 1.0000181760409588, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.0004116148679462958, 'weighted_error': 1.0000044783272455, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.5476309832556213, 'weighted_error': 1.009350295023127, 'gamma': 0.0}
