{'sample_size': 500, 'noise': 0, 'shap_error': 0.9353506999781407, 'weighted_error': 1.0142238223250903, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.173375286462198, 'weighted_error': 1.0178431324826118, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.4048403705827159, 'weighted_error': 1.0061563046713775, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.19035559109488395, 'weighted_error': 1.0028948445856298, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.08839822873588288, 'weighted_error': 1.0013442419358867, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.028863317642188024, 'weighted_error': 1.000438904566325, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.5667684205254955, 'weighted_error': 1.030112815235013, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.7541288022388495, 'weighted_error': 1.014494147832978, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.2537237866225766, 'weighted_error': 1.004876524461383, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.21111387394026426, 'weighted_error': 1.0040575653192292, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.12375807057701387, 'weighted_error': 1.0023785323318366, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.02594492448840995, 'weighted_error': 1.0004986494042882, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.9547263578392886, 'weighted_error': 1.0212714514819965, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.1019384467304012, 'weighted_error': 1.0119913924407449, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.610296247474427, 'weighted_error': 1.0066412707954182, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.31587448116370465, 'weighted_error': 1.0034373831013805, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.10194346725744294, 'weighted_error': 1.0011093480461117, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.08153275874669833, 'weighted_error': 1.0008872493608258, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.5621043608049663, 'weighted_error': 1.0095973444451718, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.7892685518725256, 'weighted_error': 1.0134759631072143, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.381142718565288, 'weighted_error': 1.0065076362208083, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.08236680568549733, 'weighted_error': 1.0014063153326072, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.03713478838228443, 'weighted_error': 1.0006340560133253, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.03070532300256031, 'weighted_error': 1.0005242662495712, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 10.620341767963692, 'weighted_error': 1.0267247823910355, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 10.985308576672479, 'weighted_error': 1.0276429028297573, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 2.677604899213073, 'weighted_error': 1.0067377874003147, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.7510741047871391, 'weighted_error': 1.0018899617504429, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.8691561842753863, 'weighted_error': 1.0021871149219619, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.2577082333373482, 'weighted_error': 1.0006484830600295, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.3123368947486145, 'weighted_error': 1.0163243162694269, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.6701353933839939, 'weighted_error': 1.0083359054734207, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.6284910268870055, 'weighted_error': 1.0078179252482369, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.2901403295643471, 'weighted_error': 1.0036091028536018, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.08775696026340431, 'weighted_error': 1.0010916170874946, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.025467699345504503, 'weighted_error': 1.0003167978259575, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 6.352271459512549, 'weighted_error': 1.0396899986881385, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 2.1127814636896174, 'weighted_error': 1.0132010381933552, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.7043296483248052, 'weighted_error': 1.0044007824160983, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.5770939777865324, 'weighted_error': 1.0036057926450803, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.5806282203862295, 'weighted_error': 1.003627809799628, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.12439620645432367, 'weighted_error': 1.000777241947062, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 3.1706655561635544, 'weighted_error': 1.0200231114281824, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.3963950455951881, 'weighted_error': 1.0088183952453051, 'gamma': 0.0}
