{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01665408194553988, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.217424225007874}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.009774836334546866, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.1276139401775442}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005869108952589775, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0766231198686744}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0014122034487636347, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0184364947633844}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0012992584089352556, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0169622083156413}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0007802295793432539, 'shap_norm_sq': 8585.105810736944, 'weighted_error': 1.0101862105026138}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.4521507121092748, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.3031562914060628}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.28792781635490267, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.1930488520121736}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.1023779257088414, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0686418908758668}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.018576355037355118, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0124550114117428}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.014087108716830098, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0094450067102216}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008188245711966144, 'shap_norm_sq': 1078.9618703125723, 'weighted_error': 1.0054900376520757}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.27177304553289244, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.2014875365244766}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.21874294640298783, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.1621716665127773}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.03574371877925052, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0264995530066667}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0324781238124637, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0240786844830603}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.017082674299261812, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.0126646863651507}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.005691473187696734, 'shap_norm_sq': 2495.3920027832633, 'weighted_error': 1.004219558192963}
