{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 5.5229243779587005, 'weighted_error': 1.0839862205182669}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.25394897204636263, 'weighted_error': 1.0038619904028445}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.31148637865665224, 'weighted_error': 1.0047367516975514}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.19171132848918254, 'weighted_error': 1.0029154397013704}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02814739542371844, 'weighted_error': 1.0004280985643181}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.033171900538204936, 'weighted_error': 1.0005045057238937}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.2706631921456104, 'weighted_error': 1.014110134766912}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.8178781484409494, 'weighted_error': 1.005082368656603}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2774192489379984, 'weighted_error': 1.0017239115001628}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06813009964036286, 'weighted_error': 1.0004233677169287}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.05290440561294453, 'weighted_error': 1.0003287593912005}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.04695241515446351, 'weighted_error': 1.0002917723061968}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.3378197364172718, 'weighted_error': 1.0010036650933438}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.39830554775797905, 'weighted_error': 1.00118336189457}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.2130019414842399, 'weighted_error': 1.000632827491026}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.049947873133948766, 'weighted_error': 1.0001484000480612}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.052213203104872284, 'weighted_error': 1.0001551289142387}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0026223371510644905, 'weighted_error': 1.0000077905584897}
