{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.11296669259680732, 'weighted_error': 1.0017178538904203}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0014241415908600847, 'weighted_error': 1.0000216548305068}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 8.19095801407943e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 8.190958016608131e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 8.190958018250465e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 8.190958018102748e-10, 'weighted_error': 0.9999999999916243}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 10, 'shap_error': 0.09129903463444623, 'weighted_error': 1.0017547562531293}
{'sample_size': 1000, 'difference': 9, 'noise': 0, 'n': 10, 'shap_error': 0.0011910045369416032, 'weighted_error': 1.0000228905093058}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 4.809135248617717e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352525164535e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352502648265e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 4.8091352531742075e-11, 'weighted_error': 0.9999999999990757}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.8095171626557432, 'weighted_error': 1.0088091299572708}
{'sample_size': 1000, 'difference': 6, 'noise': 0, 'n': 10, 'shap_error': 0.004160619356487972, 'weighted_error': 1.0000452735742051}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 3.126322063937163e-11, 'weighted_error': 0.9999999999996599}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 3.1263220682475686e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 3.126322070415041e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 3.126322067729727e-11, 'weighted_error': 0.99999999999966}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': 0.19497673630336454, 'weighted_error': 1.0033290521838485}
{'sample_size': 1000, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0020185908876454994, 'weighted_error': 1.0000344653699127}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 1.6941109174353132e-11, 'weighted_error': 0.9999999999997409}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 1.6941109164997654e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 1.694110920955088e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 1.694110925215734e-11, 'weighted_error': 0.9999999999997408}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 10, 'shap_error': 2.394189395802424, 'weighted_error': 1.0060246955413996}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01933941256756589, 'weighted_error': 1.0000486629551069}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.469241915787875e-10, 'weighted_error': 0.9999999999994021}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.469241915370002e-10, 'weighted_error': 0.9999999999994021}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.469241913934539e-10, 'weighted_error': 0.9999999999994023}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.4692419149989203e-10, 'weighted_error': 0.9999999999994019}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 10, 'shap_error': 0.15227741623480165, 'weighted_error': 1.001894176880904}
{'sample_size': 1000, 'difference': -3, 'noise': 0, 'n': 10, 'shap_error': 0.0034029799000449557, 'weighted_error': 1.000042329032772}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 2.9235040069791956e-11, 'weighted_error': 0.9999999999997797}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 2.923504009916121e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 2.9235040136735185e-11, 'weighted_error': 0.9999999999997794}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 2.923504014816489e-11, 'weighted_error': 0.9999999999997796}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 10, 'shap_error': 0.8890267298910421, 'weighted_error': 1.005554809126328}
{'sample_size': 1000, 'difference': 3, 'noise': 0, 'n': 10, 'shap_error': 0.006493486493924677, 'weighted_error': 1.0000405713113787}
{'sample_size': 2000, 'difference': -976, 'noise': 0, 'n': 10, 'shap_error': 1.2336705018690712e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 4000, 'difference': -2976, 'noise': 0, 'n': 10, 'shap_error': 1.2336705018887418e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 8000, 'difference': -6976, 'noise': 0, 'n': 10, 'shap_error': 1.2336705023191068e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 16000, 'difference': -14976, 'noise': 0, 'n': 10, 'shap_error': 1.2336705020262407e-10, 'weighted_error': 0.9999999999993857}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 10, 'shap_error': 0.8117626399796138, 'weighted_error': 1.0051263794931056}
{'sample_size': 1000, 'difference': -5, 'noise': 0, 'n': 10, 'shap_error': 0.002460750647516369, 'weighted_error': 1.0000155398032076}
