{'sample_size': 500, 'noise': 0, 'shap_error': 1.2173348553531378, 'weighted_error': 1.0185116578101263, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.7732389818638492, 'weighted_error': 1.011758957572869, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.6395185803909328, 'weighted_error': 1.0097250431108384, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.17992838920993875, 'weighted_error': 1.0027360976343784, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.05822300782937254, 'weighted_error': 1.000885333066553, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.03260497403548829, 'weighted_error': 1.0004957853343404, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 0.6014264549101722, 'weighted_error': 1.0115593200836523, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.6197831985300366, 'weighted_error': 1.0119119735066036, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.1920037209699212, 'weighted_error': 1.0036902551022393, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.10711614576885761, 'weighted_error': 1.0020587239483447, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.026588931163861868, 'weighted_error': 1.000511043354126, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.010287003989194566, 'weighted_error': 1.0001977031997367, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 2.1685792883127974, 'weighted_error': 1.0235985656853699, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 1.99780897460839, 'weighted_error': 1.0217401353292532, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.8996799334094637, 'weighted_error': 1.0097904094430175, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.2799864540315671, 'weighted_error': 1.0030468469569078, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.10427040596086116, 'weighted_error': 1.0011346801464691, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.09807742648735078, 'weighted_error': 1.0010672958984657, 'gamma': 0.0}
{'sample_size': 500, 'noise': 0, 'shap_error': 1.3739844958233278, 'weighted_error': 1.0234595014854837, 'gamma': 0.0}
{'sample_size': 1000, 'noise': 0, 'shap_error': 0.2020986959831133, 'weighted_error': 1.0034506608440013, 'gamma': 0.0}
{'sample_size': 2000, 'noise': 0, 'shap_error': 0.18155048821563138, 'weighted_error': 1.003099781738822, 'gamma': 0.0}
{'sample_size': 4000, 'noise': 0, 'shap_error': 0.043203570909275985, 'weighted_error': 1.0007376713464713, 'gamma': 0.0}
{'sample_size': 8000, 'noise': 0, 'shap_error': 0.026942209989335275, 'weighted_error': 1.000460005174119, 'gamma': 0.0}
{'sample_size': 16000, 'noise': 0, 'shap_error': 0.034573198686326065, 'weighted_error': 1.000590283699493, 'gamma': 0.0}
