{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 65.75997631514703}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 52.030128074054474}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 91.89448836040451}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 58.568477753368796}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 397.397838169745}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 80.39163406053305}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 160.04715834128584}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 158.35010867175743}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 27.438277212817667}
{'sample_size': 50, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
{'sample_size': 100, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
{'sample_size': 200, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
{'sample_size': 400, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
{'sample_size': 800, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
{'sample_size': 1600, 'shap_error': 0.0, 'weighted_error': 32.29383520955232}
