{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.000748944924186134, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.5383891694184617}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.0527542549598245e-05, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.03632278439112}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.5130887407318035e-05, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0324437258571382}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.2513445150750963e-05, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0161836142327296}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.4608821766695018e-06, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0017688882664821}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.287932885132718e-07, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0003802197797327}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00015956927866441484, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.1236225664691761}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.32664934284915e-05, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.0412661794274642}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1013607378830195e-05, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.0085308542160643}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.077563602511311e-05, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.0470868836451244}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.013858933567851e-06, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.0069822918759532}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.954397910615841e-07, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 1.000538637908233}
