{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.3796289007066266e-07, 'weighted_error': 1.0009314593343555, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.3179371704090234e-07, 'weighted_error': 1.0009147274558365, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.742425164981366e-07, 'weighted_error': 1.000755774458694, 'gamma': 0.0018}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2107240680109534e-06, 'weighted_error': 1.0033368346482212, 'gamma': 0.0018}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4940105987209033e-07, 'weighted_error': 1.000411749013862, 'gamma': 0.0018}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.6576051317033867e-08, 'weighted_error': 1.0001009039507494, 'gamma': 0.0018}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.865946208883189e-08, 'weighted_error': 1.0002442798085867, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.659474104560523e-06, 'weighted_error': 1.0047945549001935, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1741633222841207e-06, 'weighted_error': 1.0033924772248317, 'gamma': 0.0017}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.409271554911528e-07, 'weighted_error': 1.0015623182431244, 'gamma': 0.0017}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.014410438991832e-08, 'weighted_error': 1.0001737080569588, 'gamma': 0.0017}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.605138916124068e-08, 'weighted_error': 1.0001906969612986, 'gamma': 0.0017}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.3126609473254839e-08, 'weighted_error': 1.0000379308599012, 'gamma': 0.0017}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.7830653670552074e-11, 'weighted_error': 1.0106008918102298, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.782210760813653e-12, 'weighted_error': 1.0010810705637867, 'gamma': 6700000.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.1876144879949374e-12, 'weighted_error': 1.001131496087333, 'gamma': 6700000.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.830553692567396e-12, 'weighted_error': 1.001253958270059, 'gamma': 6700000.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2755876770179185e-12, 'weighted_error': 1.0002388721245263, 'gamma': 6700000.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.0708911518825503e-13, 'weighted_error': 1.0000742954461117, 'gamma': 6700000.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.225068919951615e-05, 'weighted_error': 1.0336905089697717, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4408094148960068e-06, 'weighted_error': 1.0039619104269761, 'gamma': 0.0018}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.674693699056033e-07, 'weighted_error': 1.0021108686324274, 'gamma': 0.0018}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.0540943022395608e-07, 'weighted_error': 1.000564975602571, 'gamma': 0.0018}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.673144448282049e-07, 'weighted_error': 1.0004600271932587, 'gamma': 0.0018}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4413804896094554e-07, 'weighted_error': 1.0003962201893435, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.001655125369329017, 'weighted_error': 1.017013156403797, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.000263675567286875, 'weighted_error': 1.0027103691828283, 'gamma': 1.1}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0001606482768334352, 'weighted_error': 1.0016513028363827, 'gamma': 1.1}
