{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.8829184599432431e-06, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0013540413096056}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.127860862370551e-05, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.008108492377456}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.028373052749416e-07, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0006488206260589}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.224790573900349e-07, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0005194933996957}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.458266455376893e-07, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0005360219980528}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.4171433267629377e-07, 'shap_norm_sq': 1.0434100620858613, 'weighted_error': 1.0001738454752478}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5480785369191412e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.999999999932162}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5480785374121348e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.999999999932162}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.548078534147598e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.999999999932162}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5480785371656379e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.9999999999321609}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5480785389211548e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.999999999932162}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5480785370013066e-13, 'shap_norm_sq': 1.0498340051258535, 'weighted_error': 0.9999999999321626}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4792217646923017e-09, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000085634369915}
