{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 3.168644577696046e-14, 'weighted_error': 0.9999999999579602, 'gamma': 0.0018}
{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 3.168644573420258e-14, 'weighted_error': 0.9999999999579601, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 3.168644577218998e-14, 'weighted_error': 0.9999999999579602, 'gamma': 0.0018}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 3.168644572227639e-14, 'weighted_error': 0.99999999995796, 'gamma': 0.0018}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 3.168644573420258e-14, 'weighted_error': 0.9999999999579601, 'gamma': 0.0018}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 3.168644572227639e-14, 'weighted_error': 0.99999999995796, 'gamma': 0.0018}
{'sample_size': 16000, 'difference': -15984, 'noise': 0, 'n': 4, 'shap_error': 3.168644572227639e-14, 'weighted_error': 0.99999999995796, 'gamma': 0.0018}
{'sample_size': 500, 'difference': -484, 'noise': 0, 'n': 4, 'shap_error': 3.111447975347364e-14, 'weighted_error': 0.9999999999603953, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': -984, 'noise': 0, 'n': 4, 'shap_error': 3.111447975701932e-14, 'weighted_error': 0.9999999999603953, 'gamma': 0.0017}
{'sample_size': 2000, 'difference': -1984, 'noise': 0, 'n': 4, 'shap_error': 3.111447976322425e-14, 'weighted_error': 0.9999999999603953, 'gamma': 0.0017}
{'sample_size': 4000, 'difference': -3984, 'noise': 0, 'n': 4, 'shap_error': 3.111447976676992e-14, 'weighted_error': 0.9999999999603953, 'gamma': 0.0017}
{'sample_size': 8000, 'difference': -7984, 'noise': 0, 'n': 4, 'shap_error': 3.111447975347364e-14, 'weighted_error': 0.9999999999603953, 'gamma': 0.0017}
