{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.7234745434038505e-06, 'weighted_error': 1.0047500865014856, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.7387432545386591e-06, 'weighted_error': 1.0047911468067128, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.7782127233658616e-08, 'weighted_error': 1.0001040694894783, 'gamma': 0.0018}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.99730661567513e-08, 'weighted_error': 1.0001927788104001, 'gamma': 0.0018}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1307339054844434e-06, 'weighted_error': 1.0031154779924325, 'gamma': 0.0018}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.685645664879211e-08, 'weighted_error': 1.0001843545311941, 'gamma': 0.0018}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.137448345400171e-08, 'weighted_error': 1.0001141295857334, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.737820361559433e-07, 'weighted_error': 1.0022353634702914, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.527316325101052e-06, 'weighted_error': 1.0044127980179072, 'gamma': 0.0017}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.5178728968778707e-06, 'weighted_error': 1.0043852896171872, 'gamma': 0.0017}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.548382043965116e-07, 'weighted_error': 1.0016032807135864, 'gamma': 0.0017}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.3882476976550555e-07, 'weighted_error': 1.000690068489586, 'gamma': 0.0017}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.247992052523263e-08, 'weighted_error': 1.0001225971133192, 'gamma': 0.0017}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.754435342210723e-11, 'weighted_error': 1.0031854151913318, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.720935289353788e-12, 'weighted_error': 1.0004863110089393, 'gamma': 6700000.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.7336676164390755e-13, 'weighted_error': 1.0000635426635005, 'gamma': 6700000.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 6.134046049006167e-12, 'weighted_error': 1.0011133708529596, 'gamma': 6700000.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.624053635481306e-13, 'weighted_error': 1.0001757866448273, 'gamma': 6700000.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.339514633992768e-12, 'weighted_error': 1.0007779745160972, 'gamma': 6700000.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.377254525241109e-06, 'weighted_error': 1.0092865414960834, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.932548259482089e-07, 'weighted_error': 1.0016314803089215, 'gamma': 0.0018}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.574552885633953e-07, 'weighted_error': 1.0015328882808174, 'gamma': 0.0018}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.434160895042555e-07, 'weighted_error': 1.0009445692580055, 'gamma': 0.0018}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.8685790874073206e-07, 'weighted_error': 1.0007888328397683, 'gamma': 0.0018}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.5366261486546344e-08, 'weighted_error': 1.000124853860469, 'gamma': 0.0018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0012517831954510354, 'weighted_error': 1.0128671658996222, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.000344785409646537, 'weighted_error': 1.0035440937695803, 'gamma': 1.1}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0005565157426466136, 'weighted_error': 1.0057204285570744, 'gamma': 1.1}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.00020823371876413583, 'weighted_error': 1.002140455725424, 'gamma': 1.1}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.1636276790933823e-05, 'weighted_error': 1.0001196074402383, 'gamma': 1.1}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.4165802575355902e-05, 'weighted_error': 1.0002483945008722, 'gamma': 1.1}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0004004556266136398, 'weighted_error': 1.0056804305940459, 'gamma': 1.1}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.000988956912481594, 'weighted_error': 1.0140282171701236, 'gamma': 1.1}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 0.0003177124549923954, 'weighted_error': 1.004506722247515, 'gamma': 1.1}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.9613847587404048e-05, 'weighted_error': 1.0002782145604492, 'gamma': 1.1}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.984569770270977e-05, 'weighted_error': 1.001274429007653, 'gamma': 1.1}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.371682855685965e-06, 'weighted_error': 1.0001187494402553, 'gamma': 1.1}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.37376956010599e-09, 'weighted_error': 1.0011753131276078, 'gamma': 2400.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.588666685172568e-09, 'weighted_error': 1.002586202764673, 'gamma': 2400.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2999863652631296e-08, 'weighted_error': 1.00349800119721, 'gamma': 2400.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 8.050256295168127e-09, 'weighted_error': 1.002171842017422, 'gamma': 2400.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.0616347743797464e-10, 'weighted_error': 1.0001085362660043, 'gamma': 2400.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.0934751782964023e-11, 'weighted_error': 1.0000133479735536, 'gamma': 2400.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 3.181141817237658e-08, 'weighted_error': 1.0077203566981565, 'gamma': 770000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.7078996116827574e-08, 'weighted_error': 1.004147822517946, 'gamma': 770000.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 9.54329289793538e-09, 'weighted_error': 1.0023184415941158, 'gamma': 770000.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.0339593879196953e-09, 'weighted_error': 1.0002516492359608, 'gamma': 770000.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.338312265510465e-09, 'weighted_error': 1.0003230147865543, 'gamma': 770000.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.1741216572852655e-11, 'weighted_error': 1.0000054288347766, 'gamma': 770000.0}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 4.2060583921314075e-07, 'weighted_error': 1.00985959162619, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.627851360479992e-08, 'weighted_error': 1.0013204814497279, 'gamma': 0.00024}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6703172659573458e-08, 'weighted_error': 1.0003923313843246, 'gamma': 0.00024}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 5.872596104703716e-09, 'weighted_error': 1.0001379868682323, 'gamma': 0.00024}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 7.066094088194268e-09, 'weighted_error': 1.0001659793684368, 'gamma': 0.00024}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.68309923457811e-09, 'weighted_error': 1.0000627931679542, 'gamma': 0.00024}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.6212661412045988e-06, 'weighted_error': 1.0018370007023765, 'gamma': 250.0}
{'sample_size': 2000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.2708720412462946e-07, 'weighted_error': 1.0002570839013631, 'gamma': 250.0}
{'sample_size': 4000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.2031550568853908e-06, 'weighted_error': 1.0013632411663473, 'gamma': 250.0}
{'sample_size': 8000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 2.0971625481892563e-07, 'weighted_error': 1.000237379393752, 'gamma': 250.0}
{'sample_size': 16000, 'difference': 0, 'noise': 0, 'n': 4, 'shap_error': 1.4456966016771778e-07, 'weighted_error': 1.0001637186364587, 'gamma': 250.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 4.4643154722891754e-07, 'weighted_error': 1.0012295874820651, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 7.775674378559841e-07, 'weighted_error': 1.002138509416334, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 6.896751136512912e-07, 'weighted_error': 1.001788667051984, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 8.520561312954261e-07, 'weighted_error': 1.001902897944497, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 8.144750882563804e-06, 'weighted_error': 1.0113107357985514, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.00010799847734208848, 'weighted_error': 1.2530938178972875, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.0009253573583998449, 'weighted_error': 2.4367627537860206, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.009219785140879655, 'weighted_error': 21.95475352697749, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.287805455248099e-06, 'weighted_error': 1.0065830792717263, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 6.14257376024313e-07, 'weighted_error': 1.0016737588948739, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.783821075776973e-06, 'weighted_error': 1.0055104284984457, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 9.308869924445633e-06, 'weighted_error': 1.0167668019133613, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 9.447526556841775e-05, 'weighted_error': 1.0197491741710003, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.00036000208409805697, 'weighted_error': 1.0272741935670249, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.009029696421214107, 'weighted_error': 1.7672179264909917, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.03676215202086987, 'weighted_error': 5.927269892523462, 'gamma': 0.0017}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 2.6954283747306973e-08, 'weighted_error': 1.3176741109673875, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 1.02461051023454e-07, 'weighted_error': 1.2919301702567798, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.6825527616996615e-06, 'weighted_error': 30.53680754744844, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.01, 'n': 4, 'shap_error': 1.0277961509102762e-05, 'weighted_error': 36.23995471387682, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.05, 'n': 4, 'shap_error': 0.00025513496710877995, 'weighted_error': 549.7688705040756, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.1, 'n': 4, 'shap_error': 0.0010951684508278513, 'weighted_error': 15883.26539033571, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.5, 'n': 4, 'shap_error': 0.025698979282255896, 'weighted_error': 88907.82798568961, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 1, 'n': 4, 'shap_error': 0.10297203518203321, 'weighted_error': 387930.5898817894, 'gamma': 6700000.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0.0005, 'n': 4, 'shap_error': 1.4133364861713926e-06, 'weighted_error': 1.0038679179111027, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.001, 'n': 4, 'shap_error': 2.517082398317795e-07, 'weighted_error': 1.0006151673602723, 'gamma': 0.0018}
{'sample_size': 1000, 'difference': 0, 'noise': 0.005, 'n': 4, 'shap_error': 2.213469574774055e-06, 'weighted_error': 1.004157971050717, 'gamma': 0.0018}
