{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.0003628587869694359}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.00034616059065787936}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 5.457262858940631e-09}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.0003636371654295781}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.09728532876821422}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.07049711181047572}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 3.7109805361201498e-06}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 4.123268254100653e-06}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 4.266926028595409e-05}
{'sample_size': 20, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
{'sample_size': 40, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
{'sample_size': 80, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
{'sample_size': 160, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
{'sample_size': 320, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
{'sample_size': 640, 'shap_error': 0.0, 'weighted_error': 0.0008827671169446285}
