{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.00016412943219943946}
{'sample_size': 1000, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 0.00011372299312146967}
{'sample_size': 2000, 'difference': -148, 'noise': 0, 'n': 60, 'shap_error': 3.63526336224722e-05}
{'sample_size': 4000, 'difference': -108, 'noise': 0, 'n': 60, 'shap_error': 1.9764690771545368e-05}
{'sample_size': 8000, 'difference': 4, 'noise': 0, 'n': 60, 'shap_error': 1.0169828746853033e-05}
{'sample_size': 16000, 'difference': -152, 'noise': 0, 'n': 60, 'shap_error': 5.130625692206688e-06}
{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 60, 'shap_error': 8.453922798122199e-05}
{'sample_size': 1000, 'difference': 10, 'noise': 0, 'n': 60, 'shap_error': 2.7889815498587797e-05}
{'sample_size': 2000, 'difference': -16, 'noise': 0, 'n': 60, 'shap_error': 2.6570687822468433e-05}
{'sample_size': 4000, 'difference': -162, 'noise': 0, 'n': 60, 'shap_error': 1.073858046122974e-05}
{'sample_size': 8000, 'difference': -34, 'noise': 0, 'n': 60, 'shap_error': 5.353693636580346e-06}
{'sample_size': 16000, 'difference': -282, 'noise': 0, 'n': 60, 'shap_error': 2.0351107271089787e-06}
{'sample_size': 500, 'difference': -26, 'noise': 0, 'n': 60, 'shap_error': 0.0008979567828714892}
{'sample_size': 1000, 'difference': -36, 'noise': 0, 'n': 60, 'shap_error': 0.0003826535779307829}
{'sample_size': 2000, 'difference': 36, 'noise': 0, 'n': 60, 'shap_error': 0.00014327822525607586}
{'sample_size': 4000, 'difference': 202, 'noise': 0, 'n': 60, 'shap_error': 0.00010387578264061852}
{'sample_size': 8000, 'difference': 180, 'noise': 0, 'n': 60, 'shap_error': 5.39329095883617e-05}
{'sample_size': 16000, 'difference': -160, 'noise': 0, 'n': 60, 'shap_error': 2.5134517261012685e-05}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 60, 'shap_error': 0.0002323854800722634}
{'sample_size': 1000, 'difference': -54, 'noise': 0, 'n': 60, 'shap_error': 0.00013880149924015285}
{'sample_size': 2000, 'difference': 24, 'noise': 0, 'n': 60, 'shap_error': 5.2198234680653e-05}
{'sample_size': 4000, 'difference': -62, 'noise': 0, 'n': 60, 'shap_error': 1.9244146927636172e-05}
{'sample_size': 8000, 'difference': -14, 'noise': 0, 'n': 60, 'shap_error': 1.3649268192109103e-05}
{'sample_size': 16000, 'difference': -76, 'noise': 0, 'n': 60, 'shap_error': 4.840596000552637e-06}
{'sample_size': 500, 'difference': -50, 'noise': 0, 'n': 60, 'shap_error': 4.266853226082335e-05}
{'sample_size': 1000, 'difference': -66, 'noise': 0, 'n': 60, 'shap_error': 2.115883107673217e-05}
{'sample_size': 2000, 'difference': 86, 'noise': 0, 'n': 60, 'shap_error': 5.905689196053214e-06}
{'sample_size': 4000, 'difference': -108, 'noise': 0, 'n': 60, 'shap_error': 3.894872194104149e-06}
