{'sample_size': 500, 'difference': -92, 'noise': 0, 'n': 79, 'shap_error': 0.018851886906535414}
{'sample_size': 1000, 'difference': -118, 'noise': 0, 'n': 79, 'shap_error': 0.008625575773047432}
{'sample_size': 2000, 'difference': -132, 'noise': 0, 'n': 79, 'shap_error': 0.0019527245393966353}
{'sample_size': 4000, 'difference': -66, 'noise': 0, 'n': 79, 'shap_error': 0.0011702176816908252}
{'sample_size': 8000, 'difference': -14, 'noise': 0, 'n': 79, 'shap_error': 0.0005183800258842905}
{'sample_size': 16000, 'difference': -106, 'noise': 0, 'n': 79, 'shap_error': 0.000510886869607492}
{'sample_size': 500, 'difference': -102, 'noise': 0, 'n': 79, 'shap_error': 0.0008039675459173379}
{'sample_size': 1000, 'difference': -120, 'noise': 0, 'n': 79, 'shap_error': 0.00034645101447659007}
{'sample_size': 2000, 'difference': -84, 'noise': 0, 'n': 79, 'shap_error': 0.00011966453347314043}
{'sample_size': 4000, 'difference': 4, 'noise': 0, 'n': 79, 'shap_error': 5.132558802897435e-05}
{'sample_size': 8000, 'difference': -102, 'noise': 0, 'n': 79, 'shap_error': 2.7916412800550116e-05}
{'sample_size': 16000, 'difference': 18, 'noise': 0, 'n': 79, 'shap_error': 1.805537371835122e-05}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 79, 'shap_error': 0.002772970629746491}
{'sample_size': 1000, 'difference': -134, 'noise': 0, 'n': 79, 'shap_error': 0.0011264726712996353}
{'sample_size': 2000, 'difference': -188, 'noise': 0, 'n': 79, 'shap_error': 0.00043201603490643724}
{'sample_size': 4000, 'difference': -80, 'noise': 0, 'n': 79, 'shap_error': 0.0001691246579229919}
{'sample_size': 8000, 'difference': -294, 'noise': 0, 'n': 79, 'shap_error': 8.001619358319249e-05}
{'sample_size': 16000, 'difference': 50, 'noise': 0, 'n': 79, 'shap_error': 3.594611172781155e-05}
{'sample_size': 500, 'difference': -76, 'noise': 0, 'n': 79, 'shap_error': 0.008175884472373284}
{'sample_size': 1000, 'difference': -136, 'noise': 0, 'n': 79, 'shap_error': 0.00276983743403481}
{'sample_size': 2000, 'difference': -194, 'noise': 0, 'n': 79, 'shap_error': 0.0016065947289183161}
{'sample_size': 4000, 'difference': -48, 'noise': 0, 'n': 79, 'shap_error': 0.0005192339508789337}
{'sample_size': 8000, 'difference': 48, 'noise': 0, 'n': 79, 'shap_error': 0.00019614828837359943}
{'sample_size': 16000, 'difference': 84, 'noise': 0, 'n': 79, 'shap_error': 0.0001421295813103165}
{'sample_size': 500, 'difference': -88, 'noise': 0, 'n': 79, 'shap_error': 0.0012447549268867094}
{'sample_size': 1000, 'difference': -72, 'noise': 0, 'n': 79, 'shap_error': 0.0004246427337362288}
{'sample_size': 2000, 'difference': -96, 'noise': 0, 'n': 79, 'shap_error': 0.00018703906920197183}
{'sample_size': 4000, 'difference': -78, 'noise': 0, 'n': 79, 'shap_error': 8.034005148147274e-05}
{'sample_size': 8000, 'difference': -40, 'noise': 0, 'n': 79, 'shap_error': 5.66459894852333e-05}
{'sample_size': 16000, 'difference': -128, 'noise': 0, 'n': 79, 'shap_error': 2.0801874612525242e-05}
{'sample_size': 500, 'difference': -80, 'noise': 0, 'n': 79, 'shap_error': 0.0032719858943379967}
{'sample_size': 1000, 'difference': -152, 'noise': 0, 'n': 79, 'shap_error': 0.0009435338316444192}
{'sample_size': 2000, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': 0.0004542300561882538}
{'sample_size': 4000, 'difference': 70, 'noise': 0, 'n': 79, 'shap_error': 0.0002612319748014641}
{'sample_size': 8000, 'difference': 138, 'noise': 0, 'n': 79, 'shap_error': 0.00012967765315468772}
