{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.190455858251548}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.188978114953332}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.1907400150368215}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.1871039290448784}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.186497198773038}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.1858812845992883}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 2.183912910089539}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.1835364061539027}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.1641504719707423}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.1341501182177853}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.067898428612798}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.9605168786626654}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.1653980107527633}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.1650385375428577}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.16401287201772147}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.16130642003462234}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.15632959091145526}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.14842581439548577}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.5913978119351363}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.5885363608161257}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.5856640865060164}
