{'sample_size': 395, 'difference': -43, 'noise': 0, 'n': 79, 'shap_error': 2.3723057898645052}
{'sample_size': 395, 'difference': 21, 'noise': 0, 'n': 79, 'shap_error': 2.588310091542114}
{'sample_size': 395, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 2.215740349372794}
{'sample_size': 395, 'difference': 9, 'noise': 0, 'n': 79, 'shap_error': 2.206055337201096}
{'sample_size': 395, 'difference': 7, 'noise': 0, 'n': 79, 'shap_error': 2.153449263044457}
{'sample_size': 395, 'difference': -21, 'noise': 0, 'n': 79, 'shap_error': 2.221175461061989}
{'sample_size': 395, 'difference': -11, 'noise': 0, 'n': 79, 'shap_error': 2.087497667891339}
{'sample_size': 790, 'difference': -2, 'noise': 0, 'n': 79, 'shap_error': 2.0652907053400464}
{'sample_size': 1580, 'difference': -12, 'noise': 0, 'n': 79, 'shap_error': 5.96892244323182}
{'sample_size': 3160, 'difference': -44, 'noise': 0, 'n': 79, 'shap_error': 2.5370442279609438}
{'sample_size': 6320, 'difference': -8, 'noise': 0, 'n': 79, 'shap_error': 1.957710615609454}
{'sample_size': 12640, 'difference': -30, 'noise': 0, 'n': 79, 'shap_error': 1.7479487270013747}
{'sample_size': 395, 'difference': 15, 'noise': 0, 'n': 79, 'shap_error': 0.17422246123296617}
{'sample_size': 790, 'difference': 60, 'noise': 0, 'n': 79, 'shap_error': 0.16255565302071937}
{'sample_size': 1580, 'difference': -72, 'noise': 0, 'n': 79, 'shap_error': 0.4931525574570787}
{'sample_size': 3160, 'difference': 16, 'noise': 0, 'n': 79, 'shap_error': 0.14899381425318878}
{'sample_size': 6320, 'difference': 40, 'noise': 0, 'n': 79, 'shap_error': 2.6823310610970448}
{'sample_size': 12640, 'difference': -132, 'noise': 0, 'n': 79, 'shap_error': 0.2152182922118933}
{'sample_size': 395, 'difference': -37, 'noise': 0, 'n': 79, 'shap_error': 0.5984690410295768}
{'sample_size': 790, 'difference': -36, 'noise': 0, 'n': 79, 'shap_error': 0.512258079535043}
{'sample_size': 1580, 'difference': 38, 'noise': 0, 'n': 79, 'shap_error': 0.5134481533323463}
{'sample_size': 3160, 'difference': 84, 'noise': 0, 'n': 79, 'shap_error': 0.5770037382545034}
{'sample_size': 6320, 'difference': 14, 'noise': 0, 'n': 79, 'shap_error': 0.5400299469274741}
{'sample_size': 12640, 'difference': -120, 'noise': 0, 'n': 79, 'shap_error': 0.4700575717602542}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 1.4820256029657681}
{'sample_size': 790, 'difference': 34, 'noise': 0, 'n': 79, 'shap_error': 1.3257890247898032}
{'sample_size': 1580, 'difference': -24, 'noise': 0, 'n': 79, 'shap_error': 2.827341126239097}
