{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': 0.02222036899520975}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0067879983469183135}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': 0.005333425292888502}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 0.004893486429325522}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': 0.0011680734557756795}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': 0.0007501029554362018}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': 0.0013628771773956296}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.0003733533502032988}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': 0.000667985711208093}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 0.00040832289911583487}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': 2.5430659043000466e-05}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': 1.0228153852279316e-05}
{'sample_size': 395, 'difference': -113, 'noise': 0, 'n': 79, 'shap_error': 0.001591669486860422}
{'sample_size': 790, 'difference': -85, 'noise': 0, 'n': 79, 'shap_error': 0.00035214899428950884}
{'sample_size': 1580, 'difference': -29, 'noise': 0, 'n': 79, 'shap_error': 0.00022564092271952176}
{'sample_size': 3160, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 0.0003612344341689181}
{'sample_size': 6320, 'difference': -116, 'noise': 0, 'n': 79, 'shap_error': 0.00038866393875942016}
{'sample_size': 12640, 'difference': -91, 'noise': 0, 'n': 79, 'shap_error': 0.0001518983649699338}
{'sample_size': 395, 'difference': -89, 'noise': 0, 'n': 79, 'shap_error': 0.008135414117957969}
{'sample_size': 790, 'difference': -25, 'noise': 0, 'n': 79, 'shap_error': 0.007016854364167743}
{'sample_size': 1580, 'difference': -50, 'noise': 0, 'n': 79, 'shap_error': 0.005738511836928068}
{'sample_size': 3160, 'difference': -100, 'noise': 0, 'n': 79, 'shap_error': 0.00046076025273423746}
{'sample_size': 6320, 'difference': -47, 'noise': 0, 'n': 79, 'shap_error': 0.0007515340835857515}
{'sample_size': 12640, 'difference': -94, 'noise': 0, 'n': 79, 'shap_error': 0.00028996636512637245}
{'sample_size': 395, 'difference': -77, 'noise': 0, 'n': 79, 'shap_error': 0.003008302271581067}
{'sample_size': 790, 'difference': -154, 'noise': 0, 'n': 79, 'shap_error': 0.0013378166912301251}
{'sample_size': 1580, 'difference': -149, 'noise': 0, 'n': 79, 'shap_error': 0.0008452005934932948}
{'sample_size': 3160, 'difference': -139, 'noise': 0, 'n': 79, 'shap_error': 5.529197276100122e-05}
