{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01579761525819496, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.0027618441311132, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.022836348728488907, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.013220120855101, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.031956955517452056, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.009403149914266, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04412915245141761, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0041291524514164, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06680963393326197, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0019153928592273, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.1360947223074623, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0045888265462677, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.6748143948413949, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0265508996775854, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015892799692942983, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.0042847950870852, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021564157867928844, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.0062937483920562, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.02987769351498755, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0047248104087212, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.047086691283306295, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0070866912833052, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.09489536839334527, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0143979415081519, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.17038961726708943, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0108878888857913, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.5221677512829433, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0170104844551826, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015980507418992283, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.005688118703871, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02189617375288743, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.0081013904323861, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03021643699161659, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0054869832311353, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04455016456191586, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0045501645619161, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06915461507667559, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0029576067007442, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.14577770708901944, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0063673339551256, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.40435648153858744, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0096472800961604, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016169282460140502, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.008708519362237, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02275925127630489, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.012800368059879, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03471827246590068, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0156161130482775, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.05702172677016469, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.017021726770163, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.09200683007803569, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0131141467013491, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.12240806731205434, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.002074951138948, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.3911054851765454, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.008819092823533, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01609949137082957, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.00759186193327, 'gamma': 0.06249999999999933}
