{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.017108527580199713, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.0237364412831989, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021908972283500416, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.008171071321279, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.034038295427360546, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0140861647115607, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04342352797397306, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0034235279739727, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.12077689445338415, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0259008419792803, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.18874273004446274, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0142588687836762, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.8559952840668739, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0378747052541781, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01586740767789757, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.003878522846356, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021859399990181032, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.0079011777243154, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.031313575106683575, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0079555439900367, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.049020369995637136, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.009020369995636, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.09061721119100664, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0124965383071138, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.15623162764329965, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0082874418120338, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.4958896722916598, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0153681045182275, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016896396085074015, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.0203423373611789, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02091214805633827, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.0027439171956187, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03632134513774933, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0192230265599331, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.047870218515885805, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0078702185158863, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.08876168225752211, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.01167185878112, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.14946139519603321, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0070439297298825, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.3402779772042512, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.0056423735752649, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.017275222923908717, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.0264035667825304, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021469650084945856, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.005779206018038, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03398370031372682, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0139633257058835, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.05689894780587694, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0168989478058752, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.09198444103973683, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0131041960176603, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.13803700320398754, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.004945572017058, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.33400328394729517, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.005250205246705, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01594724856402358, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.005155977024374, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021820685725190924, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.00769040005937, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03412720789095337, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.0142862177546426, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04746209488292299, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.0074620948829232, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.08116891924718593, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0082972974431939, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.1593590914812132, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0088618739455277, 'gamma': 5.444444444444526}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.38493030759271835, 'shap_norm_sq': 0.3999999999999859, 'weighted_error': 1.008433144224544, 'gamma': 16.000000000000565}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01662025704821623, 'shap_norm_sq': 6.400000000000069, 'weighted_error': 1.015924112771448, 'gamma': 0.06249999999999933}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.022701129871089694, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 1.0124839292981547, 'gamma': 0.18367346938775364}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.03296993342065522, 'shap_norm_sq': 3.6000000000000196, 'weighted_error': 1.011682350196475, 'gamma': 0.4444444444444419}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.053321280400976626, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 1.013321280400975, 'gamma': 0.9999999999999981}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.08070161564547486, 'shap_norm_sq': 1.5999999999999903, 'weighted_error': 1.0080896069535434, 'gamma': 2.2500000000000133}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.1481782676957486, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 1.0068082532502385, 'gamma': 5.444444444444526}
