{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 1.041671596716618, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 24.311240949514342, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 1.017659891713068, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.480003830908684, 'gamma': 1.3294293702512303}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.8499315569675263, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 0.8810163498712981, 'gamma': 1.7311292394655449}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 1.3324038279238866, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 0.4308032961339633, 'gamma': 3.1800990868557344}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.9, 'shap_error': 4.442591698038755, 'shap_norm_sq': 0.09999999999999033, 'weighted_error': 0.26066750138449035, 'gamma': 21.17002152750031}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 0.9119831907199017, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 21.468158712875248, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.8813695782803734, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.2523711415349967, 'gamma': 1.3294293702512303}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.8447248026971481, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 0.8607361106546304, 'gamma': 1.7311292394655449}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 1.0666435249191388, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 0.43224861793542524, 'gamma': 3.1800990868557344}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.9, 'shap_error': 1.8197424425978057, 'shap_norm_sq': 0.09999999999999033, 'weighted_error': 0.2698698856420773, 'gamma': 21.17002152750031}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 0.9440057917790458, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 21.46236840191479, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.9453788273177769, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.2587975165932996, 'gamma': 1.3294293702512303}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.9745318535283547, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 0.8135927159363379, 'gamma': 1.7311292394655449}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 1.5888589028638906, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 0.4338787996050749, 'gamma': 3.1800990868557344}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.9, 'shap_error': 3.5880962907911074, 'shap_norm_sq': 0.09999999999999033, 'weighted_error': 0.2875821529265571, 'gamma': 21.17002152750031}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 1.0012514384171431, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 20.29295547317745, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 1.1459731554701706, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.513686873613837, 'gamma': 1.3294293702512303}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 1.3615529293566315, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 0.9692635762164198, 'gamma': 1.7311292394655449}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 1.796772016532459, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 0.42629382452300857, 'gamma': 3.1800990868557344}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.9, 'shap_error': 4.467512419810684, 'shap_norm_sq': 0.09999999999999033, 'weighted_error': 0.2580000244033687, 'gamma': 21.17002152750031}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 1.0194221109210793, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 22.36419464468014, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 1.1064274709567206, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.4988403637610315, 'gamma': 1.3294293702512303}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.9896560515288846, 'shap_norm_sq': 2.5000000000000036, 'weighted_error': 0.8063052560589248, 'gamma': 1.7311292394655449}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 1.1642897704174702, 'shap_norm_sq': 0.8999999999999864, 'weighted_error': 0.4277649570923477, 'gamma': 3.1800990868557344}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.9, 'shap_error': 4.788242111018714, 'shap_norm_sq': 0.09999999999999033, 'weighted_error': 0.32353279037507365, 'gamma': 21.17002152750031}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.1, 'shap_error': 1.0159344383216822, 'shap_norm_sq': 8.1000000000001, 'weighted_error': 21.477333284110838, 'gamma': 1.1631150154162517}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 1.0203646898911376, 'shap_norm_sq': 4.9000000000000385, 'weighted_error': 2.5007860276344482, 'gamma': 1.3294293702512303}
