{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.04445578470380714, 'weighted_error': 7.167367826248069, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.0563651794356426, 'weighted_error': 2.853862898175172, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.032613346778332476, 'weighted_error': 1.5634174732873707, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.02358238072079313, 'weighted_error': 1.1183972157754076, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.026845668082025598, 'weighted_error': 0.9342831078701754, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.05317158645815655, 'weighted_error': 0.8792791345841933, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.05077585130824426, 'weighted_error': 0.8647262158509905, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.09867939358872503, 'weighted_error': 7.403631615288477, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.021058255098212787, 'weighted_error': 2.8438410237321636, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.027558666854825598, 'weighted_error': 1.5545757729874783, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.021750210038373508, 'weighted_error': 1.1093819630313204, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.03213873164544007, 'weighted_error': 0.9448955912251645, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.04769263508907977, 'weighted_error': 0.8791044211793182, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06370351445003813, 'weighted_error': 0.8632283638670339, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.08047174418500566, 'weighted_error': 7.262593741923465, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.04439317976916466, 'weighted_error': 2.8145886141130374, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.020945733421232092, 'weighted_error': 1.5611244542720535, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.026749830455292983, 'weighted_error': 1.1080387097424464, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.031996915056410384, 'weighted_error': 0.9385341175841585, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.042965888193479976, 'weighted_error': 0.8788146234098619, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06234532438320991, 'weighted_error': 0.866881539685916, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.040225236576166945, 'weighted_error': 7.2036148489628, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.043072763794480676, 'weighted_error': 2.7949532835014885, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.01722394466676848, 'weighted_error': 1.564698984047047, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.02379482682000679, 'weighted_error': 1.1082495668604724, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.03642565802453751, 'weighted_error': 0.9389057598238597, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.040770248269700035, 'weighted_error': 0.8764490014580879, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.08131458536503514, 'weighted_error': 0.8666213590081633, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.05529291507686811, 'weighted_error': 7.167682128231463, 'gamma': 0.08}
