{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.05095049407222642, 'weighted_error': 7.127177374091619, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.03349635291301352, 'weighted_error': 2.785561473710095, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.024080471331103682, 'weighted_error': 1.5481208157078985, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.022763690098431995, 'weighted_error': 1.104348879837368, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.02794786255402811, 'weighted_error': 0.933039065152877, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.04203363295861092, 'weighted_error': 0.8716222567750728, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06297549559518051, 'weighted_error': 0.8589139687084342, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.05049466654298822, 'weighted_error': 7.127651991029178, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.033762009339341946, 'weighted_error': 2.785552637521877, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.024730503261825215, 'weighted_error': 1.5480311341531015, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.02235572033107098, 'weighted_error': 1.1043643229799072, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.02882689445494832, 'weighted_error': 0.9330269140504853, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.042218207996615326, 'weighted_error': 0.8716244719701163, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06268299057913188, 'weighted_error': 0.8589399892980694, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.051006509986624426, 'weighted_error': 7.127553557488719, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.03425322245402866, 'weighted_error': 2.785390720123356, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.024362771636431767, 'weighted_error': 1.5480666433641324, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.023146579257357976, 'weighted_error': 1.1043485324225257, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.028934773764071553, 'weighted_error': 0.9330277070922828, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.04197790272417426, 'weighted_error': 0.8716569444600267, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06363204980792453, 'weighted_error': 0.8589318136210623, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.05133184767504249, 'weighted_error': 7.127194249978985, 'gamma': 0.08}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.03396901647011036, 'weighted_error': 2.7854756670543224, 'gamma': 0.11}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.024992687365839823, 'weighted_error': 1.5480452372634743, 'gamma': 0.2}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.02312519289754931, 'weighted_error': 1.1043475593479695, 'gamma': 0.46}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.02879375347457152, 'weighted_error': 0.9330687493584822, 'gamma': 1.4}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.04230469250486592, 'weighted_error': 0.8716424863328063, 'gamma': 5.7}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.06270126889052505, 'weighted_error': 0.8589297090349446, 'gamma': 38.0}
{'sample_size': 1000, 'difference': 2, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.051174454832106885, 'weighted_error': 7.127438050871502, 'gamma': 0.08}
