{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006971653972696233, 'weighted_error': 1.000680238206268, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -25, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007019785962684935, 'weighted_error': 1.0008371279804396, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006992242014237032, 'weighted_error': 1.000298734811199, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007046279280570735, 'weighted_error': 1.0004073393445023, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.00708754647254188, 'weighted_error': 1.0003975056336032, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0071389667000836265, 'weighted_error': 1.000396984195181, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -38, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007761805521823762, 'weighted_error': 1.001277126683405, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006992954725537739, 'weighted_error': 1.0012127570273042, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006996292510774168, 'weighted_error': 1.0005760896258757, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0070138278890826975, 'weighted_error': 1.0004336465289836, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007144973793602464, 'weighted_error': 1.00080211739663, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007226182290001447, 'weighted_error': 1.0007826051265467, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007293755933705549, 'weighted_error': 1.0007128805903285, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0073880439589669965, 'weighted_error': 1.0006931242414412, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006961749526181886, 'weighted_error': 1.0004326270434118, 'gamma': 0.06249999999999612}
