{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010884328467202494, 'shap_norm_sq': 7.6800000000004935, 'weighted_error': 1.000538144364113, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -54, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.014662319481048014, 'shap_norm_sq': 5.880000000000345, 'weighted_error': 1.0026676900140952, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.019754916422889932, 'shap_norm_sq': 4.3200000000002206, 'weighted_error': 1.0010457841737215, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.029065954936325248, 'shap_norm_sq': 3.0000000000001252, 'weighted_error': 1.001288177158547, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.044342450195042224, 'shap_norm_sq': 1.9200000000000546, 'weighted_error': 1.0004176321854503, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.08085855451966693, 'shap_norm_sq': 1.0800000000000036, 'weighted_error': 1.0006792356373984, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -22, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.20530142643247692, 'shap_norm_sq': 0.4799999999999808, 'weighted_error': 1.0019806447075843, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010906298044534487, 'shap_norm_sq': 7.6800000000004935, 'weighted_error': 1.000889657601426, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.014422473124165551, 'shap_norm_sq': 5.880000000000345, 'weighted_error': 1.0013618598488476, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.019661978928084047, 'shap_norm_sq': 4.3200000000002206, 'weighted_error': 1.0008366748104092, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.028957247875157195, 'shap_norm_sq': 3.0000000000001252, 'weighted_error': 1.001179470097378, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0451094928613972, 'shap_norm_sq': 1.9200000000000546, 'weighted_error': 1.0007585400371635, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0843224830612471, 'shap_norm_sq': 1.0800000000000036, 'weighted_error': 1.001315467410342, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.1944396361300246, 'shap_norm_sq': 0.4799999999999808, 'weighted_error': 1.0013017828136812, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010932352656299897, 'shap_norm_sq': 7.6800000000004935, 'weighted_error': 1.001306531389671, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.014331728251863622, 'shap_norm_sq': 5.880000000000345, 'weighted_error': 1.0008678044329808, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -46, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.020514969508289745, 'shap_norm_sq': 4.3200000000002206, 'weighted_error': 1.0027559036158715, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -46, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.029286897011856897, 'shap_norm_sq': 3.0000000000001252, 'weighted_error': 1.0015091192340781, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.045354153342506115, 'shap_norm_sq': 1.9200000000000546, 'weighted_error': 1.000867278028768, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.08461955304494014, 'shap_norm_sq': 1.0800000000000036, 'weighted_error': 1.0013700312848979, 'gamma': 5.444444444444437}
