{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.00880649464308668, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0133528938812184, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.012789747905108869, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0129437295241894, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.020872647426029508, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0150757016065246, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.03312230660755914, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0127141433422588, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.0391191576593122, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0032139566921197, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.3153516347297361, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0475094006313233, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.3256371958873781, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0123803859674538, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008645204705006945, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0107722548719273, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.012145884256015083, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0094382496569045, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.018547573921074686, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.009844286220374, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.03608581553783983, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0156776522725395, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.061827659430041586, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0133066241457798, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.08400417374382985, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0050170098379971, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.24102075905481685, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0070918586654174, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008343092222336776, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0059384551492276, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.014218680724573503, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.020723474874619, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.02566435935764602, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.025857053452663, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.040264398854916054, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.019856235589612, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.07667105860391908, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0199036904452763, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.21769447832175015, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0295723719033336, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.19513650510455488, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0042240927935242, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008860041628182942, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0142096456427814, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.012198773487481596, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0097262021393292, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.02624568328559074, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0271650322905475, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.05114564484782304, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0307374815825112, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.060502945636799935, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.01271786245989, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.10176451500458793, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0082791133348727, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.2742856669436341, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0091709154084685, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.009031531350151922, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.016953481194261, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01357109771258561, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0171977451426741, 'gamma': 0.18367346938773377}
