{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.010136595807884074, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.034634512517984, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.02068141647117889, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0559094806061085, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.0275686512395, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0301417101868324, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.06610515644298626, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.045696993177674, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.07693036680728639, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0200189385356693, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.10551103567020306, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0089672497836588, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.8376908606647024, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0443837400160376, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.009264534468207082, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0206815310831332, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01580014441166463, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0293336660598675, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.02609001846822503, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0268147864514763, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.04225236557151533, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.021844202306219, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.13026751324081157, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0437243369505704, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.09674202197211725, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0073566146146233, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.7899359560357707, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0413990584767232, 'gamma': 16.000000000000085}
