{'sample_size': 500, 'difference': 24, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.0051417269928097, 'weighted_error': 1.0009921544120541, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005159605990551658, 'weighted_error': 1.0006396130469364, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.00556294468218787, 'weighted_error': 1.0028806491616276, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.0056440708665227764, 'weighted_error': 1.0021681202007835, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -36, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005765812196793735, 'weighted_error': 1.0018438093901874, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005825659647146395, 'weighted_error': 1.0014767731241223, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.0056565733924147914, 'weighted_error': 1.0008664571501382, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005143325407316918, 'weighted_error': 1.0010321147747394, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005212605314112449, 'weighted_error': 1.0012284944198369, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.005131773462204539, 'weighted_error': 1.0001858290367334, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005354840555231539, 'weighted_error': 1.0010111989556192, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.0053820839708765686, 'weighted_error': 1.0007778976515274, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005623335932641172, 'weighted_error': 1.0010638675843153, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.0063626827679913855, 'weighted_error': 1.0019697530494769, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005129239057956358, 'weighted_error': 1.0006799560407178, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 19, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.0051229219718948995, 'weighted_error': 1.0002320128396398, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 15, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.0051667175223520856, 'weighted_error': 1.000404229412655, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.00521483843608759, 'weighted_error': 1.000451190479043, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005326143381981071, 'weighted_error': 1.0006225071268182, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005608428511956137, 'weighted_error': 1.0010334442767939, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 15, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.005544039759088875, 'weighted_error': 1.0006906233480668, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.00515907161060356, 'weighted_error': 1.0014257698569038, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005201327542333101, 'weighted_error': 1.0011031858445119, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.0051487184407821495, 'weighted_error': 1.0002917351528424, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005469099782575184, 'weighted_error': 1.0014682358649933, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005467996332964243, 'weighted_error': 1.0010165431017695, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005804806446948804, 'weighted_error': 1.001434215572698, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.005771514138468687, 'weighted_error': 1.001046052065847, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 21, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005126869252928704, 'weighted_error': 1.000620710915032, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 19, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005244820801920606, 'weighted_error': 1.0015864442843727, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.00521816762858997, 'weighted_error': 1.000725792576642, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 43, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005237390503172768, 'weighted_error': 1.0005413987473817, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 23, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005353286876254989, 'weighted_error': 1.000697905722021, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.0055992838278503395, 'weighted_error': 1.0010147816561705, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.005337019315355322, 'weighted_error': 1.0003671539047325, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005113314282728979, 'weighted_error': 1.0002818366600401, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005151169135861019, 'weighted_error': 1.000545870217042, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 18, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.0052433923532317715, 'weighted_error': 1.0008834471056554, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005168470733835646, 'weighted_error': 1.0002657196700342, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005280181531951139, 'weighted_error': 1.0004948353211782, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 21, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005281372745827559, 'weighted_error': 1.0003659835295935, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -23, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.006052134802968198, 'weighted_error': 1.0014845218541277, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 17, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005127905185830118, 'weighted_error': 1.000646609237568, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005167341878778114, 'weighted_error': 1.0007255673605668, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.005296662624893241, 'weighted_error': 1.0012163863035382, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005372958950991836, 'weighted_error': 1.0010836725386578, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005208325839227298, 'weighted_error': 1.0002952361747242, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005539581678875202, 'weighted_error': 1.0008929405358131, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -26, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.005661718929205457, 'weighted_error': 1.0008744970513737, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005133753482755432, 'weighted_error': 1.0007928166606994, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.005139376144197612, 'weighted_error': 1.0004148369763353, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 35, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.005205972578411299, 'weighted_error': 1.0006495735130236, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005366611135742949, 'weighted_error': 1.0010582812776638, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005421613691130187, 'weighted_error': 1.0008877024300107, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.0053420210441463304, 'weighted_error': 1.000489755566979, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.006075965830190689, 'weighted_error': 1.0015217578341638, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.005117833048112501, 'weighted_error': 1.0003948057946241, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.0052240930774557865, 'weighted_error': 1.001356136234758, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.005236587053903145, 'weighted_error': 1.0008409139848513, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.005224881981375266, 'weighted_error': 1.0004913646601918, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.005571615143904702, 'weighted_error': 1.0013043731321618, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.005394874658893047, 'weighted_error': 1.000597620086868, 'gamma': 5.444444444444169}
