{'sample_size': 500, 'difference': -40, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008196037656072392, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0035855820889883, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010686409640853824, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0014922211965733, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': -30, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.01586220854037026, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0038022141137928, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.021701166242288416, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0012930029769818, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03625849108683733, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0019425493265766, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07755321897944621, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0038321405955588, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.17994626714198786, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0032747029208646, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 34, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008121543489516488, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0023936754240812, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01071847183126981, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0016667820110559, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 16, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014669865351336025, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0011194419384635, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.02295507993465828, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0025469166693501, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.04042132563397125, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0037926980141927, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06467389024421677, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0014665496033737, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14305707973689138, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0009691287080462, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008146732316805298, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0027966966607194, 'gamma': 0.06249999999999221}
