{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008120226646568487, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0023726059369267, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01064721064172391, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0012788044235323, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.01538790287277829, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0027350263617136, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.020978836920748044, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.000570673655441, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03469195674096517, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0012463118395232, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.07263683132821906, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.002929130618803, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.15672558961906236, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.001823410575681, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008126432277302573, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.002471896028669, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010664547519960908, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0013731940939339, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015002424658766148, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0018677003801841, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.022477708063112906, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0020695447978096, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.039074827541834, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0031942544176864, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06214164573633541, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0010014434692727, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.16477958836956105, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.002326785497589, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008128225792111464, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.0025005922656145, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010459030153397952, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.000254266209315, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015165115682616448, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0022337551838443, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.023363192268479056, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0029550290031723, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03735347586481001, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0024292092278997, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06381729326224928, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0013092154638277, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.17006680163684149, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0026572363267925, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.00813965581207434, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.002683472585024, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01067890562268607, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0014513659865452, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014464014451288181, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0006562774133558, 'gamma': 0.44444444444439446}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.02308323182116637, 'shap_norm_sq': 3.50000000000033, 'weighted_error': 1.0026750685558616, 'gamma': 0.9999999999999041}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.03870492262605891, 'shap_norm_sq': 2.2400000000001774, 'weighted_error': 1.0030298522328982, 'gamma': 2.249999999999817}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06864388584193794, 'shap_norm_sq': 1.2600000000000606, 'weighted_error': 1.0021957324682624, 'gamma': 5.444444444444169}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.1634735512904977, 'shap_norm_sq': 0.5599999999999955, 'weighted_error': 1.0022451581801455, 'gamma': 16.000000000000085}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008093182973063643, 'shap_norm_sq': 8.960000000001104, 'weighted_error': 1.001939907160852, 'gamma': 0.06249999999999221}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.011135463001006067, 'shap_norm_sq': 6.860000000000788, 'weighted_error': 1.0039370672685173, 'gamma': 0.18367346938773377}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.014630370757624701, 'shap_norm_sq': 5.040000000000556, 'weighted_error': 1.0010305791026126, 'gamma': 0.44444444444439446}
