{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.004012782418365169, 'weighted_error': 1.0026633104596498, 'gamma': 0.06250000000006377}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.0041871960845341425, 'weighted_error': 1.003121623161736, 'gamma': 0.18367346938791193}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.004219282463087551, 'weighted_error': 1.001956452894378, 'gamma': 0.44444444444472536}
{'sample_size': 500, 'difference': 66, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.0043985329337867364, 'weighted_error': 1.001969131735173, 'gamma': 1.0000000000003206}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.004792209754959809, 'weighted_error': 1.0024609993193618, 'gamma': 2.2499999999996687}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.005415773029328325, 'weighted_error': 1.003080659243545, 'gamma': 5.444444444439521}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.005630515681139997, 'weighted_error': 1.002694165126794, 'gamma': 15.999999999960426}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.003988822011283514, 'weighted_error': 1.002064300282649, 'gamma': 0.06250000000006377}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.004065195583628238, 'weighted_error': 1.0017660620405118, 'gamma': 0.18367346938791193}
{'sample_size': 500, 'difference': 64, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.004226400721044136, 'weighted_error': 1.0020009420066172, 'gamma': 0.44444444444472536}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.004451196774431035, 'weighted_error': 1.0021797870977893, 'gamma': 1.0000000000003206}
